timestamp,score
59:55,36:23
59:33,36:22
59:31,35:22
58:25,35:22
58:13,35:21
57:55,35:21
57:29,34:21
57:02,34:21
56:20,34:20
55:51,33:20
55:40,33:19
55:10,33:19
55:07,32:19
54:19,32:19
53:26,32:18
52:58,31:18
52:50,31:17
52:23,31:17
52:18,31:17
51:53,31:17
51:23,31:17
51:19,30:17
50:52,30:17
50:16,30:17
50:13,30:17
49:42,30:17
49:09,30:16
48:18,29:16
47:27,29:15
47:06,28:15
46:56,28:15
46:47,28:15
46:43,27:15
45:24,27:15
44:46,27:15
44:34,27:15
44:09,26:15
43:56,26:14
43:27,25:14
43:02,25:14
42:31,25:14
42:17,25:14
41:55,24:14
40:54,24:14
40:51,24:14
40:20,24:14
40:17,24:14
40:10,23:14
39:56,23:14
39:13,23:14
39:10,23:14
39:00,22:14
38:51,22:14
38:27,22:14
37:48,22:14
37:11,21:14
37:04,21:14
36:30,20:14
36:29,20:14
36:21,20:13
35:47,19:13
35:14,19:13
34:43,18:13
33:49,18:13
33:46,17:13
33:45,17:13
33:40,17:13
32:45,17:13
32:22,16:13
31:34,16:13
31:31,16:13
30:14,16:13
30:00,16:12
29:42,16:12
29:08,16:11
28:35,16:11
28:17,16:11
27:54,16:11
27:33,15:11
27:00,15:11
26:50,15:10
26:36,15:10
25:57,15:10
25:54,15:9
25:45,15:9
25:30,15:9
25:01,15:8
24:55,14:8
24:15,14:8
24:07,14:8
23:55,14:8
23:06,13:8
22:58,13:8
21:59,13:8
21:53,12:8
21:17,12:8
20:28,12:7
19:56,11:7
19:13,11:7
18:48,11:7
18:44,11:7
18:14,10:7
18:02,10:6
17:32,10:6
17:19,10:6
16:33,10:6
16:07,10:5
15:36,9:5
15:30,9:4
14:59,9:4
14:54,9:3
14:43,9:3
13:56,8:3
13:26,8:3
12:35,7:3
12:35,7:3
11:40,7:2
11:03,7:2
10:33,7:2
10:21,7:2
10:13,6:2
09:29,6:2
09:13,6:2
09:04,5:2
08:22,5:2
08:15,4:2
07:40,4:2
07:32,3:2
06:55,3:2
06:31,3:1
06:27,3:1
06:13,3:1
05:42,3:1
04:51,3:1
04:17,3:1
04:06,3:1
03:54,3:1
03:29,2:1
03:14,2:0
02:50,2:0
02:12,2:0
01:45,2:0
01:35,2:0
01:27,1:0
00:28,1:0
