timestamp,score
60:00,15:30
60:00,15:29
59:57,15:29
59:31,15:29
59:24,15:29
58:52,15:29
58:41,14:29
58:36,14:28
58:32,14:28
57:59,14:28
57:33,14:28
56:39,14:28
56:09,14:27
55:34,14:27
55:24,14:27
54:47,14:26
53:57,14:26
53:52,14:25
53:43,13:25
53:05,13:25
52:32,13:25
52:06,13:24
51:24,13:24
51:05,13:24
50:23,13:24
48:59,13:24
48:12,13:23
48:01,12:23
47:26,12:22
47:22,12:22
47:10,12:22
46:56,12:22
46:28,12:21
46:22,12:21
46:17,12:21
45:32,12:21
45:19,12:21
44:45,12:21
44:36,11:21
44:02,11:21
43:24,11:21
42:29,11:21
42:21,10:21
41:17,10:21
40:33,9:21
39:54,9:20
39:18,8:20
38:39,8:19
38:30,7:19
37:55,7:19
37:46,7:19
36:36,7:18
36:26,7:18
35:51,7:17
35:42,7:17
35:14,7:17
34:33,7:17
34:01,7:17
33:45,7:17
32:46,7:17
32:37,7:17
32:29,7:17
32:26,7:17
32:18,7:17
31:40,7:17
30:44,7:16
30:31,7:16
29:34,7:15
28:52,7:14
28:16,6:14
27:41,6:13
26:26,6:13
26:21,6:12
25:35,6:12
25:29,6:11
25:20,6:11
24:48,6:11
24:14,5:11
24:04,5:10
23:53,5:10
23:22,5:9
23:06,4:9
22:57,4:9
22:04,4:9
21:13,4:8
20:42,4:8
20:30,4:8
19:41,4:8
19:24,4:8
18:50,4:8
18:17,4:7
17:38,3:7
17:23,3:6
17:10,3:6
16:11,3:6
16:09,3:6
15:32,3:6
15:26,3:6
15:16,3:5
15:08,3:5
14:20,3:5
13:38,3:5
13:28,3:5
12:57,3:5
12:49,3:4
12:42,3:4
12:25,3:4
11:56,3:4
11:46,3:4
11:41,3:4
10:57,3:4
10:19,3:4
09:12,3:4
08:51,3:4
08:09,3:4
08:00,2:4
07:30,2:4
07:24,2:4
06:45,1:4
06:34,1:3
05:49,1:3
05:38,1:2
05:29,1:2
05:01,1:1
04:51,1:1
04:33,1:1
04:09,1:1
03:56,1:1
03:12,1:1
02:38,0:1
02:05,0:0
01:56,0:0
01:08,0:0
