timestamp,score
60:00,27:34
59:59,26:34
59:32,26:34
59:30,26:34
59:23,25:34
58:44,25:34
58:40,24:34
58:11,24:34
57:00,24:33
56:45,23:33
56:36,23:33
55:57,23:33
55:53,23:32
55:46,23:32
55:12,23:32
55:00,22:32
54:08,22:32
53:58,21:32
53:27,21:32
53:25,20:32
52:48,20:32
52:05,20:32
51:26,19:32
50:33,19:31
50:30,18:31
50:11,18:31
50:09,18:31
50:06,18:30
49:11,18:30
48:51,18:29
48:18,17:29
48:00,17:29
47:40,17:29
47:30,17:29
47:23,17:29
47:18,17:29
47:05,17:29
46:46,17:29
46:23,16:29
46:21,16:28
46:14,16:28
45:54,16:27
45:32,16:27
44:49,16:27
44:24,15:27
44:19,15:26
43:58,15:26
43:56,15:25
43:11,15:25
42:30,14:25
41:58,14:24
41:50,13:24
41:32,13:23
41:24,13:23
40:47,13:22
40:32,13:22
40:19,13:22
39:40,13:21
39:36,12:21
39:01,12:21
38:47,11:21
38:47,11:21
38:34,11:21
37:37,11:21
37:09,11:20
36:58,10:20
36:35,10:20
35:40,10:20
35:30,10:20
34:51,10:20
34:31,10:20
33:54,10:20
33:33,10:19
33:04,9:19
32:48,9:18
32:19,9:18
31:51,9:18
31:43,9:18
31:16,9:18
31:07,8:18
30:34,8:18
29:31,8:18
29:08,8:17
28:23,8:17
28:12,7:17
28:09,7:16
27:06,7:16
26:38,7:15
26:26,7:15
25:34,7:14
25:23,6:14
24:29,6:14
24:19,6:14
23:34,6:14
23:09,6:14
23:01,6:14
22:21,6:13
21:14,6:13
21:12,5:13
20:18,5:13
19:16,5:12
17:56,4:12
17:40,4:11
17:02,4:11
16:56,4:11
16:46,3:11
16:21,3:11
15:50,2:11
15:44,2:11
15:05,2:10
14:30,2:10
13:51,2:9
13:36,2:9
12:52,2:9
12:28,2:8
11:59,2:8
11:58,2:7
11:53,2:7
11:44,2:7
11:11,2:7
10:54,2:7
10:00,2:6
09:50,1:6
09:14,1:5
08:48,0:5
08:27,0:5
08:26,0:5
07:05,0:4
06:26,0:4
05:48,0:3
05:31,0:3
05:21,0:2
04:50,0:2
04:41,0:2
04:08,0:2
03:18,0:2
02:12,0:1
01:59,0:1
01:25,0:1
00:55,0:1
00:41,0:0
