timestamp,score
59:59,34:32
59:18,34:32
58:51,33:32
58:23,33:31
57:54,34:30
57:48,34:30
57:13,34:30
56:48,34:29
56:30,33:29
56:14,33:29
56:04,32:29
55:50,32:29
55:32,31:29
55:21,31:29
55:00,31:28
54:35,30:27
54:33,30:27
54:19,30:26
54:15,29:26
54:01,29:26
53:40,29:26
53:05,29:25
52:50,29:25
52:38,29:24
52:22,29:24
52:09,29:24
51:59,28:24
51:34,28:24
51:04,27:24
50:15,26:25
48:51,26:23
48:37,26:23
47:24,26:23
47:01,26:22
45:54,25:22
45:44,25:22
43:41,25:22
43:41,24:22
43:41,24:22
43:41,24:22
43:41,23:22
42:32,23:22
42:00,23:21
41:02,22:21
40:34,22:20
39:50,22:20
39:50,22:20
38:54,22:19
38:52,21:19
38:08,21:19
37:59,20:19
37:53,20:19
37:10,20:19
36:31,20:18
36:11,20:18
35:21,20:18
35:13,20:18
34:59,20:18
34:50,19:18
34:48,19:18
33:58,19:18
33:50,19:18
33:39,19:18
33:33,19:17
33:25,17:19
31:52,17:17
31:40,16:17
31:06,16:17
30:47,16:17
30:00,16:16
30:00,16:16
29:36,16:16
29:07,15:16
28:48,15:16
28:32,15:15
28:21,15:15
27:45,15:15
27:42,15:14
27:22,15:14
27:11,15:14
26:18,15:14
26:14,14:14
25:10,14:14
24:49,14:14
24:42,14:13
24:13,14:13
23:58,14:13
23:27,14:13
23:17,14:13
22:32,14:13
21:49,14:13
21:37,14:13
21:27,13:13
20:16,13:12
20:05,12:12
19:04,12:11
18:49,11:11
17:30,11:10
17:28,10:10
17:26,10:10
17:14,10:9
16:38,10:9
15:45,10:8
15:39,9:8
15:16,9:8
14:35,9:8
13:44,9:8
13:38,8:8
13:07,8:8
13:01,8:8
12:25,8:7
12:18,7:7
11:35,7:7
11:27,6:7
10:47,6:6
10:35,6:6
10:21,6:5
09:20,6:5
09:12,5:5
08:38,5:5
08:21,4:5
08:10,4:5
07:37,4:4
07:02,4:4
06:29,4:3
06:11,4:3
05:43,3:3
05:08,3:3
04:58,3:3
04:47,3:2
04:12,3:2
03:14,3:1
03:04,2:1
02:19,2:0
02:10,1:0
01:27,1:0
01:22,1:0
01:12,0:0
01:12,0:0
00:32,0:0
