timestamp,score
59:48,34:31
59:39,34:30
59:31,33:30
59:04,33:30
58:44,33:30
58:30,33:30
58:27,33:29
58:08,33:29
57:45,33:28
57:28,33:28
57:05,33:28
56:52,33:28
56:30,32:28
56:28,32:27
55:59,32:27
55:44,32:27
55:41,32:27
55:12,32:27
55:03,32:27
54:34,32:27
54:24,32:27
54:04,32:27
53:34,32:27
53:00,32:27
52:37,31:27
52:09,31:27
52:01,30:27
51:35,30:27
51:27,30:27
51:17,30:26
51:03,29:26
50:44,29:25
49:43,29:25
48:56,29:24
48:03,29:24
48:03,28:24
48:03,28:23
47:29,28:23
47:16,28:23
47:09,27:23
46:19,27:23
46:12,27:23
44:46,27:23
44:46,27:23
44:43,27:23
44:35,27:23
44:06,27:23
43:56,27:23
42:39,27:23
42:33,27:23
42:10,27:23
41:49,27:23
41:34,26:23
40:53,26:23
40:48,26:23
40:18,26:23
40:13,26:22
39:57,26:22
38:32,26:22
38:25,26:22
38:17,26:22
37:42,25:22
36:50,25:22
36:22,24:22
36:13,24:21
36:01,24:21
35:23,24:20
34:41,23:20
33:59,23:19
33:45,22:19
33:03,22:19
32:38,22:19
32:31,22:19
32:17,22:19
32:08,21:19
31:13,21:18
30:41,20:18
30:25,20:17
30:00,19:17
29:56,18:17
29:47,18:17
29:41,17:17
28:43,17:16
28:37,16:16
27:53,16:15
27:33,15:15
27:28,15:15
27:00,15:15
26:41,15:15
26:00,15:15
25:31,14:15
25:26,14:14
25:08,13:14
24:53,13:14
24:47,13:13
24:11,12:13
23:37,12:13
23:06,12:13
22:33,12:12
22:21,12:12
22:13,12:12
22:08,11:12
21:32,11:12
21:24,11:12
21:13,11:11
21:01,10:11
20:31,10:11
20:27,10:10
19:27,10:10
19:20,9:10
19:09,9:9
18:47,9:9
18:45,9:8
18:10,9:8
17:15,8:8
17:09,8:8
16:37,8:8
16:18,8:7
15:39,8:7
15:39,8:7
15:34,7:7
14:55,7:7
14:51,6:7
14:19,6:7
13:42,5:7
13:38,5:6
13:29,5:6
13:12,5:6
12:42,5:6
12:05,4:6
11:30,4:6
11:30,3:6
10:40,3:6
10:37,3:5
10:17,3:5
10:12,3:5
10:03,3:5
09:36,3:5
09:12,3:4
09:04,3:4
08:17,2:4
08:09,2:3
07:33,2:3
07:27,2:2
06:54,2:2
05:41,2:2
05:38,1:2
05:32,1:2
04:11,1:1
03:47,0:1
03:44,0:1
03:29,0:1
03:04,0:1
03:00,0:1
02:46,0:1
02:37,0:0
02:22,0:0
01:51,0:0
01:46,0:0
00:40,0:0
