timestamp,score
60:00,28:24
59:06,28:23
58:58,28:23
58:57,28:23
58:20,28:23
58:13,28:22
57:49,28:22
57:22,28:21
57:15,28:21
56:42,28:21
56:01,28:21
55:52,28:20
55:38,27:20
55:29,27:20
54:47,27:20
54:42,27:20
54:09,27:19
53:47,26:19
53:07,26:18
52:51,25:18
52:29,25:18
51:57,25:18
51:46,25:18
50:53,24:18
50:31,24:17
50:14,24:17
49:10,24:17
49:07,23:17
48:57,23:17
48:08,23:17
47:58,22:17
47:32,22:16
46:55,22:16
45:40,22:16
45:36,21:16
45:00,21:16
44:56,21:16
44:25,20:16
43:52,20:16
43:43,20:16
43:04,20:16
42:35,19:16
42:15,19:16
41:59,19:16
41:19,19:16
41:19,19:16
41:18,18:16
40:36,18:16
39:53,18:16
39:27,17:16
38:53,17:16
38:53,17:16
38:49,16:16
38:34,16:16
37:32,16:16
37:08,16:15
36:03,15:15
35:41,15:14
35:10,15:14
34:41,14:14
33:43,14:14
33:27,14:14
32:44,14:13
32:15,13:13
32:13,13:12
31:19,13:12
30:26,13:11
30:00,12:11
29:55,11:11
29:51,11:11
29:14,11:10
28:09,11:10
27:55,11:10
27:02,11:10
26:30,11:10
26:00,10:10
25:51,10:10
25:37,10:10
25:05,10:10
24:56,10:10
24:46,10:10
24:15,10:10
23:38,9:10
23:23,9:10
22:51,9:10
22:25,9:10
21:34,8:10
21:31,8:9
20:54,8:9
20:50,8:9
20:07,8:9
19:39,8:9
19:28,8:9
18:39,8:9
18:09,8:9
18:01,8:9
18:01,8:9
17:46,7:9
16:44,7:8
16:35,6:8
16:25,6:8
15:57,6:8
15:50,6:8
14:45,6:8
14:05,6:7
13:56,5:7
13:52,5:7
13:22,5:7
12:21,5:6
11:43,5:6
11:20,5:6
10:51,5:5
10:19,4:5
09:49,4:4
09:29,3:4
08:56,3:4
08:23,3:4
07:56,3:4
07:44,3:4
07:18,3:4
07:11,3:4
07:04,3:4
06:30,3:4
06:24,2:4
05:55,2:4
05:47,1:4
05:18,1:4
04:58,1:4
04:51,0:4
04:38,0:4
04:03,0:4
03:28,0:3
02:32,0:3
02:16,0:2
02:08,0:1
01:45,0:1
00:43,0:1
