timestamp,score
60:00,26:29
59:41,26:29
59:36,25:29
58:59,25:29
58:40,24:29
57:57,24:29
57:50,24:29
56:56,24:29
56:32,24:28
56:29,23:28
56:04,23:28
55:35,23:27
54:54,22:27
54:49,22:26
53:56,22:26
53:22,22:25
53:14,22:25
53:07,21:25
52:57,21:25
52:28,20:25
52:04,20:24
51:35,20:24
50:31,20:24
49:42,20:24
49:42,20:24
49:34,20:23
49:01,20:23
48:06,20:22
47:16,19:22
46:37,19:21
45:58,19:21
45:47,19:21
45:13,19:21
44:57,19:20
44:40,19:20
44:22,19:20
44:12,19:20
43:38,19:20
43:30,19:19
42:31,19:19
41:45,19:19
41:13,18:19
40:27,18:19
40:01,18:19
40:00,18:19
39:28,17:19
38:52,17:18
38:08,17:18
37:23,17:18
36:48,16:18
36:40,16:18
36:09,15:18
36:00,15:18
35:33,15:18
35:27,15:17
34:21,15:17
34:01,15:17
33:56,15:17
33:47,15:17
32:52,15:17
32:37,15:17
31:36,15:17
31:22,15:17
30:41,15:17
30:30,14:17
30:00,14:16
29:49,14:16
29:40,14:16
29:17,13:16
28:25,13:15
27:45,13:15
27:28,13:15
26:57,13:14
26:31,12:14
25:52,12:14
25:49,12:13
25:34,12:13
25:03,12:12
24:32,12:12
23:51,12:11
23:28,12:11
22:11,12:11
21:58,11:11
21:43,11:11
21:05,11:11
20:58,11:11
20:27,11:11
19:18,11:10
19:05,11:10
18:27,10:10
17:59,10:10
17:37,9:10
16:49,9:10
16:36,9:10
16:03,9:10
16:02,9:10
15:00,7:10
14:49,7:10
14:25,7:10
14:20,15:16
14:18,15:17
13:59,7:10
13:53,7:10
13:25,6:10
12:44,6:9
11:46,5:9
10:54,5:8
10:10,5:7
08:58,4:7
08:29,4:6
07:44,3:6
07:29,3:5
06:41,2:5
06:32,2:4
06:11,2:3
06:00,2:3
05:28,1:3
05:16,1:3
04:49,0:3
04:12,0:3
04:07,0:2
04:00,0:2
03:06,0:2
02:55,0:1
02:23,0:1
02:14,0:0
01:36,0:0
01:30,0:0
01:19,0:0
00:33,0:0
