timestamp,score
60:00,27:31
59:43,27:31
59:33,27:31
59:12,27:30
58:33,27:30
58:09,26:30
57:42,26:29
57:32,26:29
57:01,26:28
56:25,26:28
56:01,26:28
55:25,25:28
54:49,25:27
54:22,25:27
54:13,25:27
53:27,25:26
53:22,25:26
52:48,25:26
52:38,25:26
52:06,25:25
50:42,24:25
50:39,24:24
50:30,24:24
50:09,24:24
50:05,24:24
49:02,24:24
48:51,24:24
48:21,24:23
47:49,24:23
47:24,24:23
46:44,24:23
46:40,23:23
46:15,23:23
45:44,23:23
45:01,23:23
44:51,23:22
44:39,23:22
44:35,23:22
43:58,23:22
43:46,23:22
43:07,23:21
42:56,23:21
42:30,23:21
41:58,23:21
41:34,23:20
41:06,22:20
40:47,22:20
40:41,22:20
40:30,21:20
40:25,21:20
39:49,21:20
39:40,20:20
39:05,20:20
38:58,20:20
38:45,20:20
38:12,20:20
37:51,20:19
37:49,19:19
36:51,19:19
36:29,19:18
36:20,19:18
36:12,19:17
35:21,19:17
35:08,18:17
34:33,18:16
34:26,17:16
34:19,17:16
34:08,17:16
33:33,17:16
33:20,17:16
32:44,17:16
32:11,17:16
32:07,17:16
32:00,17:16
31:23,17:16
30:35,17:16
30:26,17:15
30:00,16:15
29:58,16:15
29:33,16:15
28:30,15:15
27:57,15:14
27:37,15:14
27:20,15:14
27:16,15:13
26:29,15:13
26:05,15:12
25:39,15:12
25:08,14:12
25:03,14:12
24:30,14:12
24:20,14:11
23:48,13:11
23:43,13:10
23:41,13:10
23:12,13:10
22:23,12:10
21:47,12:9
21:23,12:9
21:20,12:8
20:54,12:8
20:41,12:8
20:38,12:8
20:01,11:8
19:46,11:8
19:25,11:8
19:19,10:8
18:31,10:7
18:18,9:7
17:48,9:7
16:50,9:7
16:29,9:7
16:15,9:7
15:15,9:7
15:07,9:6
14:51,9:6
13:55,9:5
13:47,9:5
13:16,9:5
12:15,8:5
11:39,8:4
11:39,8:4
11:31,8:4
11:00,8:4
10:56,7:4
10:09,7:4
10:00,6:4
09:57,6:3
09:27,6:3
08:55,6:3
08:43,6:2
08:18,5:2
08:11,5:2
07:18,5:2
06:51,5:2
06:10,4:2
05:45,4:2
05:17,3:2
04:33,3:2
03:45,3:2
03:43,3:2
03:14,3:1
03:08,2:1
02:55,2:1
02:49,1:1
02:41,1:1
02:14,1:1
01:19,0:1
01:12,0:0
