timestamp,score
59:54,28:19
59:15,28:19
59:15,28:19
58:54,28:18
58:24,27:18
58:15,27:18
57:45,26:18
57:30,26:17
56:36,25:17
56:01,25:16
55:40,24:16
54:59,24:16
54:33,23:16
54:13,23:16
54:11,22:16
54:06,22:16
54:06,22:16
53:42,22:16
53:28,22:16
53:21,22:16
52:19,22:16
50:24,22:16
49:21,21:16
48:37,21:16
48:19,20:16
48:14,20:16
48:06,20:16
47:41,20:16
47:25,20:16
46:42,20:16
46:33,20:15
46:19,20:15
45:51,20:15
45:48,20:15
45:36,20:15
44:52,20:15
44:35,19:15
44:31,19:15
44:04,19:15
43:17,19:15
43:04,18:15
42:18,18:15
42:07,18:14
41:14,18:14
41:02,18:14
40:52,18:14
39:53,17:14
39:22,17:13
38:59,16:13
38:46,16:13
38:00,16:12
37:33,16:12
37:05,16:12
36:54,16:11
35:59,16:11
35:50,16:11
35:45,15:11
34:19,15:11
34:09,15:10
33:25,15:10
32:45,15:10
32:14,15:9
32:10,14:9
31:58,14:9
31:15,14:9
30:47,14:9
30:00,14:9
29:54,14:9
29:46,14:9
29:19,14:9
29:08,14:9
28:11,14:9
27:59,13:9
27:37,13:9
27:14,13:9
27:14,13:9
27:07,13:8
26:58,13:8
26:40,13:8
26:05,13:7
25:57,13:7
25:39,13:7
25:07,13:7
24:55,12:7
24:24,12:6
24:18,12:6
23:27,12:6
23:25,12:6
23:21,11:6
22:56,11:6
22:48,11:6
21:33,11:6
21:10,11:6
20:44,11:6
20:27,10:6
19:35,10:6
19:09,9:6
18:22,9:6
18:04,9:6
17:25,9:6
17:06,9:5
17:05,9:5
16:58,9:5
16:27,9:5
15:43,8:5
14:16,8:4
14:07,7:4
13:11,7:3
12:19,6:3
11:36,6:3
11:11,6:3
11:02,6:3
10:47,6:3
10:44,6:2
10:22,6:2
10:04,6:2
10:00,5:2
09:43,5:2
09:22,5:2
09:01,5:2
08:23,5:2
08:22,5:2
07:50,4:2
07:50,4:2
07:13,4:2
07:09,3:2
07:03,3:2
06:52,3:2
06:22,3:1
05:53,2:1
05:23,2:1
04:36,1:1
04:30,1:1
04:23,1:1
04:14,1:1
03:54,0:1
03:24,0:1
03:14,0:1
01:57,0:1
01:33,0:0
01:25,0:0
