timestamp,score
59:56,29:26
59:51,29:25
58:46,29:25
58:04,29:24
58:01,28:24
57:36,28:24
57:25,28:24
56:53,28:24
56:31,28:24
56:22,28:24
55:21,27:24
54:51,27:24
54:19,27:24
53:55,27:24
53:47,27:24
53:01,26:24
52:54,26:24
52:45,26:23
52:00,26:23
51:54,26:22
51:11,26:22
51:02,26:22
50:24,25:22
50:09,25:21
49:28,25:21
49:15,24:21
48:22,24:21
48:05,24:21
47:51,24:21
47:37,24:20
47:23,24:20
47:07,24:20
46:51,23:20
46:00,23:20
45:35,23:20
44:05,22:20
43:30,22:19
43:27,21:19
43:18,21:19
42:18,20:19
41:52,20:19
41:03,20:19
39:45,20:19
39:26,20:18
38:58,20:18
38:03,20:18
37:53,20:17
37:43,19:17
37:07,19:16
36:06,18:16
35:58,18:16
34:37,18:16
34:06,18:15
33:33,18:15
33:04,18:15
32:42,17:15
32:09,17:15
31:43,17:15
31:01,16:15
31:00,16:15
30:00,16:14
29:59,16:14
29:29,15:14
29:24,15:14
29:11,15:14
28:23,15:14
27:59,15:13
27:50,15:13
27:13,15:12
27:08,14:12
26:38,14:12
26:36,13:12
26:24,13:12
25:12,13:12
25:05,13:11
24:16,13:11
23:19,13:10
23:14,12:10
23:10,12:10
22:26,12:10
22:19,12:10
21:52,12:9
21:29,12:9
21:27,12:8
20:54,12:8
20:31,11:8
19:59,11:7
19:56,11:7
19:56,11:7
19:04,11:7
18:44,11:7
17:48,10:7
17:33,10:7
16:57,10:7
16:54,10:7
16:08,10:7
16:03,9:7
15:56,9:7
15:46,9:7
15:21,9:7
15:18,9:7
14:41,8:7
14:31,8:7
13:53,8:7
13:29,8:6
12:07,7:6
12:02,7:5
11:08,7:5
11:05,7:4
10:35,7:4
10:23,6:4
10:13,6:4
08:38,5:4
08:20,5:3
08:16,4:3
07:42,4:3
06:46,3:3
06:33,3:2
06:26,2:2
06:02,2:2
05:42,1:2
04:56,1:2
04:44,1:2
04:38,1:2
04:33,1:2
04:30,1:2
04:14,1:2
03:49,1:2
02:58,1:2
02:52,1:1
02:43,1:1
02:23,1:0
02:02,0:0
01:10,0:0
00:38,0:0
