timestamp,score
59:25,25:15
59:07,25:15
58:35,25:15
57:45,24:15
57:38,24:15
56:53,24:15
56:20,24:14
56:15,24:14
55:47,24:14
54:46,24:14
54:28,24:14
53:50,24:14
53:24,24:14
53:23,24:14
52:36,24:14
51:39,24:14
51:08,24:14
51:05,24:14
51:01,24:14
50:12,24:14
50:10,24:14
49:22,24:13
48:57,24:13
48:47,24:13
48:34,24:13
47:10,24:13
47:01,23:13
46:24,23:13
46:16,23:13
45:45,23:13
45:08,23:13
44:22,23:12
44:08,23:12
43:45,22:12
42:32,22:11
42:13,21:11
41:39,21:11
41:34,21:11
40:51,21:11
39:47,21:11
39:04,20:11
38:12,20:11
38:04,19:11
37:10,19:11
37:05,19:11
36:58,19:11
36:16,18:11
35:51,18:11
35:11,18:11
35:04,18:10
34:57,18:10
34:24,18:10
34:15,17:10
33:27,17:10
33:22,16:10
32:53,16:10
32:45,16:10
32:11,15:10
31:21,15:10
30:45,14:10
30:35,14:10
30:00,14:10
29:25,14:9
28:49,14:9
28:40,14:9
27:14,14:9
27:07,14:9
26:10,14:9
25:58,14:9
24:55,14:9
24:38,14:8
24:26,14:8
23:13,13:8
23:08,13:7
23:00,13:7
22:17,12:7
22:17,12:7
21:47,12:6
21:13,12:6
21:07,12:5
20:19,12:5
19:34,12:5
19:12,11:5
19:11,11:5
19:04,11:4
18:33,11:4
18:22,11:4
17:50,10:4
17:46,10:4
17:10,10:3
16:53,10:3
15:46,9:3
15:23,9:3
14:38,9:3
14:17,9:2
14:10,9:2
14:02,9:2
13:26,9:2
13:19,9:2
12:43,9:2
12:09,8:2
11:38,8:2
11:38,8:2
11:31,7:2
10:54,7:2
10:18,7:2
10:08,7:2
09:30,6:2
09:14,6:2
08:51,5:2
08:13,5:2
07:24,5:2
07:10,4:2
06:44,4:1
06:37,4:1
05:54,3:1
05:42,3:1
04:57,3:1
04:19,3:1
04:11,2:1
03:34,2:1
03:25,1:1
02:55,1:1
02:50,1:1
02:39,1:1
02:34,0:1
01:47,0:0
01:20,0:0
