timestamp,score
60:00,30:34
59:44,30:34
58:40,30:33
58:40,30:33
58:30,30:33
58:21,30:33
57:29,30:32
57:08,29:32
56:31,29:31
56:16,28:31
56:10,28:31
55:10,28:31
54:43,27:31
54:29,27:30
54:19,26:30
53:23,26:29
53:12,26:29
53:06,25:29
51:23,25:29
51:09,24:29
50:03,24:29
50:03,23:29
50:03,23:28
49:58,23:29
49:46,23:28
48:45,23:28
48:10,23:28
47:47,23:28
47:16,23:28
46:44,23:28
46:09,23:28
46:02,22:28
44:06,22:27
43:56,21:27
43:56,21:26
43:49,21:26
43:46,21:25
43:15,21:25
43:12,21:24
43:01,21:24
42:22,21:24
42:09,21:24
41:29,21:23
40:55,21:23
40:41,21:22
40:18,20:22
40:12,20:21
39:49,20:21
38:58,20:21
38:52,20:20
38:40,20:20
37:50,20:20
37:21,20:19
36:53,20:19
36:52,20:19
36:21,20:18
35:57,19:18
35:29,19:17
35:25,18:17
34:35,18:17
34:04,18:17
33:17,17:17
32:43,17:17
31:53,17:16
31:44,16:16
30:52,16:16
30:43,16:15
30:00,15:15
29:58,15:15
29:50,15:15
28:41,14:15
28:06,14:14
27:32,13:14
27:19,13:13
27:14,12:13
26:32,12:13
25:17,11:12
24:54,10:12
24:12,10:11
24:02,10:11
23:34,9:11
23:28,9:10
23:24,8:10
22:47,8:10
22:33,8:10
21:51,8:10
20:56,8:9
20:11,7:9
19:50,7:9
19:45,7:9
19:42,7:8
19:21,7:8
18:26,6:8
18:21,6:8
17:44,6:8
17:39,6:8
16:52,6:8
16:38,5:8
16:02,5:7
15:19,4:7
15:19,4:7
15:15,4:7
14:24,4:7
13:48,4:7
13:04,4:7
12:19,4:7
11:29,3:7
11:22,3:6
10:47,3:6
10:22,2:6
10:08,2:6
09:28,2:6
09:17,2:6
08:39,2:6
08:00,2:6
07:33,1:6
06:55,1:5
06:39,0:5
06:18,0:5
06:13,0:5
06:01,0:4
05:24,0:4
04:53,0:3
04:53,0:3
04:36,0:3
04:19,0:3
03:56,0:3
03:51,0:2
03:38,0:2
02:56,0:2
02:07,0:2
02:03,0:1
01:10,0:1
01:06,0:0
00:54,0:0
00:47,0:0
