timestamp,score
59:58,28:24
59:55,28:24
59:46,28:24
59:41,28:24
59:16,28:24
58:31,27:24
58:02,27:24
57:59,27:24
57:47,26:24
56:40,26:24
56:20,26:24
55:52,25:24
55:36,25:24
54:50,25:24
54:42,24:24
54:14,24:23
54:03,24:23
53:36,24:22
53:24,24:22
53:07,24:22
52:35,24:21
51:18,23:21
51:12,23:20
50:28,23:20
50:09,23:20
49:49,23:20
49:44,22:20
49:03,22:20
48:57,21:20
47:32,21:20
46:57,21:20
46:46,21:20
46:10,21:20
45:29,21:20
45:28,21:20
45:18,20:20
44:50,20:20
44:43,20:20
44:11,20:20
44:03,19:20
43:28,19:19
42:27,19:19
41:52,19:18
40:54,19:18
40:41,19:17
40:20,19:17
39:31,18:17
39:21,18:16
38:58,18:16
38:12,18:16
38:10,18:16
37:35,18:15
37:00,18:15
36:52,18:15
35:54,18:15
35:51,17:15
35:51,17:15
35:47,17:15
35:16,17:15
35:09,17:15
34:58,17:15
34:53,17:15
34:09,17:15
33:16,17:14
32:37,16:14
32:33,16:13
31:37,16:13
30:56,15:13
30:27,15:13
29:57,14:13
29:10,14:13
28:59,14:13
28:56,13:13
28:14,13:13
27:51,12:13
27:40,12:13
27:06,12:13
26:16,11:13
26:09,11:13
26:02,11:13
25:33,11:13
24:58,10:13
24:27,10:12
24:14,9:12
23:59,9:12
23:31,9:11
23:27,8:11
22:52,8:11
22:00,7:11
21:33,7:10
20:53,7:10
20:03,7:9
19:52,7:9
18:53,7:8
18:38,6:8
18:12,6:8
18:07,6:8
17:56,6:8
17:27,6:8
17:05,5:8
16:41,5:7
16:09,5:7
15:32,5:7
15:30,5:7
15:02,5:7
14:59,5:7
14:45,5:7
13:57,5:7
13:32,5:7
13:27,5:6
12:34,5:6
12:23,5:5
11:58,5:5
11:18,5:5
10:59,5:4
10:34,5:4
10:28,4:4
10:22,4:4
10:15,4:4
10:05,4:4
09:29,4:4
08:52,4:3
08:42,4:3
08:34,4:3
08:14,4:3
07:40,4:3
07:36,3:3
07:08,3:3
07:00,3:3
06:32,3:3
06:27,3:3
06:17,2:3
05:40,2:3
05:29,1:3
05:14,1:2
05:07,1:2
04:33,1:2
03:55,1:2
03:18,1:1
02:43,0:1
02:07,0:1
01:55,0:1
01:31,0:0
00:50,0:0
00:48,0:0
