timestamp,score
60:00,34:27
59:53,34:27
59:18,33:27
59:13,33:26
58:30,33:26
58:20,33:25
57:51,32:25
56:54,32:25
56:18,31:25
55:19,31:24
54:50,30:24
54:41,30:24
54:36,29:24
53:28,29:24
52:53,28:24
52:45,28:23
52:18,27:23
51:40,27:23
51:31,27:23
51:03,27:23
50:54,27:22
50:05,26:22
49:57,26:22
49:47,26:22
48:43,26:22
48:35,26:22
48:18,26:22
47:43,26:22
46:17,25:22
45:53,25:21
45:26,24:21
45:18,24:21
44:54,24:21
43:54,24:21
43:43,23:21
43:33,23:20
42:47,23:20
41:51,23:20
41:49,23:20
41:39,23:20
40:34,22:20
40:07,22:19
39:14,21:19
39:14,21:19
38:59,21:18
38:07,21:18
38:00,21:18
37:50,21:18
37:19,21:17
36:30,20:17
36:16,20:16
35:29,19:16
35:18,19:16
35:12,18:16
34:40,18:16
34:33,18:16
34:27,18:15
33:46,18:15
33:39,18:15
33:27,18:14
32:50,18:14
32:42,18:13
32:21,18:13
31:31,18:12
30:44,17:12
30:33,17:12
30:00,16:12
29:56,16:12
29:28,16:12
29:22,16:12
29:06,16:12
28:30,16:11
28:25,15:11
27:58,15:11
27:25,15:11
26:51,15:10
26:46,14:10
26:30,14:10
25:23,14:10
25:13,14:10
24:35,13:10
24:04,13:10
23:27,12:10
23:18,12:10
23:11,12:10
22:52,12:10
22:12,12:10
22:00,12:10
21:54,11:10
21:23,11:10
21:16,10:10
20:27,10:10
20:11,9:10
19:31,9:10
19:13,9:9
18:29,9:8
17:36,9:8
17:26,9:7
17:08,8:7
16:59,8:7
16:34,8:7
16:26,8:7
16:09,7:7
16:02,7:7
15:36,7:7
15:29,7:7
15:23,7:6
15:07,6:6
15:00,6:5
14:05,6:5
13:52,5:5
13:38,5:4
13:02,4:4
12:52,4:4
12:24,3:4
12:18,3:3
11:30,3:3
10:49,3:3
10:29,3:3
09:24,3:3
09:08,3:2
08:42,3:2
08:18,3:1
08:11,3:1
08:00,3:1
07:03,3:1
06:59,3:1
06:46,3:1
06:02,3:1
04:51,3:1
04:46,2:1
04:40,2:1
04:01,1:1
03:56,1:0
02:54,1:0
02:45,1:0
02:09,1:0
01:43,1:0
00:59,1:0
00:52,0:0
00:45,0:0
00:33,0:0
