timestamp,score
59:59,29:33
59:16,29:33
58:40,28:33
58:08,28:32
57:37,28:32
57:12,27:32
56:28,27:31
56:18,26:31
55:34,26:31
55:29,26:31
54:43,26:30
54:01,25:30
53:25,25:30
53:13,24:30
52:09,24:30
52:03,23:30
51:21,23:30
50:48,23:29
50:17,22:29
50:00,22:28
48:44,21:28
48:13,21:28
47:43,21:28
46:53,21:28
46:47,21:28
46:41,20:28
46:11,20:28
46:06,19:28
45:42,19:28
45:28,19:28
45:02,19:27
44:37,19:27
44:23,19:26
43:21,18:26
42:06,18:26
41:59,18:26
41:57,18:26
41:26,18:26
40:59,17:26
40:55,17:25
40:12,17:25
40:03,17:25
39:00,17:25
38:39,17:24
38:31,17:24
38:05,16:24
37:04,16:24
36:28,16:23
35:41,15:23
35:37,15:22
34:37,15:22
34:01,15:21
33:18,15:21
33:10,15:20
32:22,15:20
31:44,15:20
31:12,14:20
30:31,14:19
30:00,14:19
29:57,14:18
29:32,14:18
29:24,14:18
29:06,14:17
28:54,14:17
28:19,14:17
28:01,14:16
27:03,14:16
26:21,13:16
26:16,13:15
25:14,13:15
24:36,13:14
24:25,13:14
23:32,12:14
23:24,12:13
22:53,11:13
22:26,11:13
21:58,10:13
21:54,10:13
21:47,10:13
21:22,10:13
21:04,10:12
21:04,10:12
20:31,10:12
20:12,10:12
19:26,10:12
18:21,10:12
17:47,10:12
16:59,10:11
16:49,10:11
15:57,9:11
15:51,9:10
15:18,9:10
15:05,8:10
15:03,8:10
13:56,8:10
13:50,8:10
13:38,8:10
13:12,8:10
12:25,7:10
11:57,7:9
11:23,7:9
10:55,7:8
10:35,7:8
10:04,7:8
10:03,7:8
09:54,7:8
09:51,7:8
08:48,7:8
08:42,7:7
08:30,6:7
08:08,6:6
08:00,5:6
07:32,5:5
06:33,4:5
05:31,4:4
05:27,4:4
05:16,3:4
04:41,3:3
04:21,3:2
04:00,3:2
03:31,3:2
03:24,3:2
02:56,2:2
02:45,2:1
02:29,2:1
02:02,2:1
01:39,1:1
01:07,1:0
01:03,1:0
