timestamp,score
59:37,26:28
59:31,26:28
59:03,26:27
58:55,26:27
57:52,26:27
57:47,26:27
57:18,26:27
56:31,26:27
55:38,26:27
54:47,25:27
54:46,25:27
54:14,25:26
54:00,24:26
53:41,23:26
53:02,23:26
52:50,22:26
52:28,22:26
51:53,21:26
51:32,21:25
51:32,21:25
51:10,20:25
50:54,20:25
50:53,20:25
50:37,20:25
50:26,20:25
49:48,20:25
49:40,19:25
49:08,19:25
48:54,18:25
48:36,18:25
47:56,18:24
47:27,17:24
46:58,17:23
46:45,17:23
45:53,17:22
45:43,17:22
44:50,17:21
44:39,16:21
43:59,16:20
43:40,16:20
42:27,16:20
42:22,16:20
41:49,16:19
41:35,15:19
41:31,15:18
41:20,15:18
40:44,15:17
40:00,14:17
39:49,14:17
39:15,14:16
39:01,13:16
38:26,13:15
37:52,13:15
37:38,13:15
37:32,12:15
36:51,12:14
36:39,11:14
36:10,11:14
35:56,10:14
34:56,10:13
34:16,9:13
34:10,9:12
33:59,9:12
33:45,9:12
33:09,9:12
32:34,9:12
32:30,9:11
32:10,9:11
31:57,9:10
31:30,9:10
31:12,9:10
30:21,8:10
29:59,8:9
29:46,8:9
29:42,8:9
29:00,8:9
28:46,8:9
28:16,8:8
28:08,8:8
27:36,8:8
27:28,7:8
26:54,7:8
26:32,7:8
25:19,7:8
24:52,7:8
24:21,7:8
24:11,7:8
23:40,7:8
22:38,7:8
22:27,6:8
21:40,6:8
20:36,6:8
19:26,6:8
19:23,6:7
19:21,6:7
19:07,6:7
18:20,6:7
17:46,5:7
16:48,5:6
15:53,5:6
15:36,5:5
15:10,5:5
15:03,5:5
14:52,5:5
14:14,5:5
13:31,5:4
13:01,5:4
12:57,5:3
12:25,5:3
12:02,5:3
11:57,5:3
11:21,5:2
11:04,5:2
10:46,5:2
09:29,5:2
09:00,5:2
08:55,4:2
08:08,4:2
08:03,3:2
07:54,3:2
06:53,3:2
06:24,3:2
06:18,3:2
06:04,2:2
05:15,2:1
04:56,2:1
04:34,2:1
04:08,2:1
03:59,1:1
03:43,1:1
02:42,1:1
02:00,1:1
01:45,1:0
01:30,1:0
01:22,1:0
00:51,1:0
