timestamp,score
59:58,30:23
59:42,30:23
58:42,30:23
58:06,30:23
58:02,29:23
57:29,29:23
57:25,28:23
56:49,28:23
56:45,28:23
56:22,28:23
55:52,28:23
55:37,28:23
55:21,28:23
54:44,27:23
54:33,27:22
54:08,27:22
53:56,27:21
53:45,27:21
53:40,27:21
53:29,27:21
52:22,27:21
52:16,27:21
51:43,27:21
51:39,27:20
51:29,26:20
51:25,26:20
50:38,26:20
50:32,26:20
49:53,26:20
48:29,26:20
47:59,26:20
46:37,26:20
46:17,26:19
45:39,26:19
45:27,26:18
44:24,25:18
43:50,25:18
43:44,24:18
43:39,24:18
43:13,24:18
42:40,24:18
42:30,24:17
42:29,23:17
41:24,23:17
41:21,23:16
40:47,23:16
40:09,23:16
40:04,22:16
39:17,22:16
38:35,21:16
38:31,21:16
38:08,21:16
37:59,21:16
37:43,21:16
37:08,20:16
36:41,20:16
35:54,19:16
35:28,19:15
35:24,18:15
35:14,18:15
34:46,18:15
34:39,18:15
34:37,18:15
33:58,18:15
33:48,18:15
33:46,18:15
33:32,18:15
32:48,17:15
32:28,17:14
31:39,17:14
31:28,17:14
30:47,16:14
29:58,16:13
29:03,16:12
28:53,15:12
28:08,15:12
28:03,15:11
27:28,15:11
27:02,15:10
27:00,14:10
26:39,14:10
25:39,14:10
25:37,14:10
24:56,14:10
24:49,13:10
24:13,13:10
23:19,13:9
23:07,13:9
22:33,13:8
21:53,13:8
21:32,12:8
21:08,12:7
20:03,12:7
19:57,12:7
19:48,11:7
19:36,11:7
19:12,10:7
18:47,10:6
18:44,10:6
18:39,9:6
18:35,9:6
18:12,9:6
17:27,9:6
17:20,9:6
17:12,9:6
17:05,9:6
16:07,8:6
15:56,8:6
14:48,8:6
14:07,7:6
12:44,7:5
12:31,6:5
12:24,6:4
11:42,6:4
11:04,6:4
10:58,6:4
10:47,6:4
10:17,5:4
09:46,5:3
09:11,4:3
09:02,4:3
08:09,4:3
07:42,4:3
07:42,4:3
06:43,4:3
06:23,4:2
05:38,4:2
05:02,3:2
04:41,3:1
03:54,3:1
03:49,2:1
03:36,2:1
03:29,2:1
03:18,2:1
03:06,2:0
02:44,1:0
02:42,1:0
01:57,1:0
00:53,1:0
