timestamp,score
59:57,27:33
59:44,27:32
59:15,27:32
59:04,27:32
58:56,27:32
58:35,27:32
58:25,27:32
58:17,27:31
57:58,27:31
57:32,27:31
57:01,27:30
56:53,26:30
56:18,26:30
55:53,26:30
55:51,26:29
55:21,26:29
54:53,26:29
54:36,26:29
54:22,26:28
54:07,26:28
53:59,26:28
52:55,26:28
52:45,26:28
52:00,26:28
51:30,26:28
51:11,25:28
50:57,25:28
50:00,25:27
49:44,24:27
49:19,24:27
48:04,24:26
47:57,24:26
47:49,23:26
47:35,23:26
46:39,22:26
46:27,22:25
45:42,22:25
45:42,22:25
45:12,22:24
44:59,22:24
44:38,22:24
43:33,22:24
43:09,22:24
42:25,22:24
42:01,22:24
41:16,21:24
41:02,21:23
40:55,21:23
40:07,21:23
39:18,21:22
38:59,20:22
38:30,20:22
37:56,20:22
37:53,19:22
37:53,19:22
36:47,19:22
36:21,19:21
35:10,18:21
34:57,18:20
34:45,18:20
34:26,17:20
34:26,17:20
33:59,17:19
33:25,17:19
33:00,17:18
32:10,17:18
31:12,17:17
30:46,17:17
30:00,17:17
29:35,17:17
29:32,17:16
29:03,17:16
28:54,16:16
28:16,16:15
27:24,16:15
26:48,16:14
26:33,16:14
25:52,16:14
25:24,16:14
24:49,16:13
24:49,16:13
24:42,15:13
23:59,15:13
23:43,14:13
23:34,14:13
23:23,14:13
23:16,14:13
22:07,14:12
21:55,13:12
21:27,13:11
20:56,12:11
20:03,12:10
19:42,12:10
19:25,12:10
18:23,12:9
18:17,11:9
17:34,11:9
16:48,10:9
16:31,10:8
15:48,10:8
15:28,9:8
14:52,9:7
14:48,8:7
14:10,8:7
13:50,7:7
13:39,7:7
13:14,7:6
13:13,6:6
12:18,6:6
11:55,6:6
10:59,6:6
10:46,6:6
10:46,6:6
10:40,6:6
10:26,6:6
10:17,6:5
09:45,6:5
09:40,6:5
09:35,5:5
09:00,5:5
08:50,4:5
08:27,4:4
07:35,4:4
07:03,4:4
06:56,3:4
06:45,3:4
06:11,2:4
05:35,2:3
05:23,1:3
05:09,1:2
04:29,1:2
04:24,1:1
03:33,1:1
03:25,1:0
03:19,1:0
02:58,1:0
02:39,1:0
02:10,1:0
01:17,0:0
00:49,0:0
