timestamp,score
59:57,38:30
59:54,37:30
59:24,37:30
58:48,37:29
58:17,36:29
57:49,36:28
57:24,35:28
57:12,35:27
56:43,34:27
56:33,34:27
56:09,34:27
55:16,34:27
55:11,34:27
54:39,34:27
53:54,34:26
53:31,33:26
52:52,33:26
52:36,33:25
52:09,33:25
51:15,33:25
51:01,33:24
50:46,33:24
50:22,32:24
49:51,32:23
49:28,31:23
49:23,31:23
49:10,31:23
48:59,31:23
48:33,31:22
48:18,30:22
47:20,30:21
46:52,30:21
46:40,30:21
46:05,29:21
45:16,29:20
44:47,28:20
44:36,28:20
44:00,28:20
43:53,28:20
43:44,28:20
43:28,27:20
43:10,27:19
42:13,27:19
41:40,26:19
41:37,26:18
41:16,26:18
41:08,26:18
40:02,26:18
39:49,26:18
39:19,26:18
39:03,26:18
38:23,26:18
38:14,26:18
37:38,26:18
37:20,26:17
36:46,25:17
36:45,25:17
36:37,25:16
36:03,25:16
35:53,25:15
35:12,25:15
34:14,25:14
34:10,24:14
33:38,24:14
33:29,24:14
32:25,24:14
32:15,23:14
31:57,23:13
31:42,23:13
31:15,23:12
30:23,22:12
29:54,22:11
29:25,22:11
29:17,22:11
28:59,22:11
28:38,21:11
28:24,21:10
27:41,21:10
27:41,21:10
27:40,20:10
27:13,20:10
27:12,20:10
26:35,19:10
26:18,19:9
25:39,19:9
25:05,18:9
24:57,18:9
24:53,18:9
24:45,18:9
24:01,18:9
23:22,17:9
22:59,17:8
22:47,16:8
22:32,16:7
22:15,16:7
22:08,15:7
21:27,15:7
20:49,14:7
20:21,14:6
20:16,13:6
19:29,13:6
19:29,13:6
19:13,13:6
18:08,13:6
17:45,12:6
17:18,12:5
16:55,11:5
16:20,11:5
16:10,11:5
15:36,11:4
15:36,11:4
14:55,10:4
14:18,10:3
13:36,9:3
13:34,9:3
13:09,9:3
12:33,9:3
12:25,8:3
11:49,8:3
10:53,7:3
10:12,7:2
10:09,6:2
09:45,6:2
09:38,6:2
09:11,6:2
08:45,6:2
08:23,6:1
07:58,6:1
07:58,6:1
07:42,6:1
07:34,6:1
07:28,5:1
07:06,5:1
06:59,5:1
06:50,4:1
06:05,4:0
06:03,3:0
05:56,3:0
05:37,3:0
05:26,3:0
05:01,3:0
04:14,2:0
04:08,2:0
04:00,2:0
03:13,2:0
03:08,1:0
02:56,1:0
02:26,1:0
02:14,1:0
02:01,1:0
01:56,1:0
00:38,1:0
00:33,0:0
