timestamp,score
60:00,26:26
59:54,26:26
59:53,26:26
59:37,26:26
58:16,26:25
57:56,25:25
57:05,25:25
56:30,25:24
55:52,24:24
55:31,24:24
54:30,23:24
53:58,23:24
53:48,23:24
53:07,22:24
52:53,22:23
52:13,21:23
51:53,21:22
51:51,20:22
50:41,20:22
50:36,20:22
50:24,20:22
49:55,20:22
49:35,20:22
49:15,20:22
49:15,20:22
48:41,20:22
48:30,20:22
48:01,20:21
48:00,20:21
47:56,19:21
47:42,19:21
47:07,18:21
46:25,18:21
46:02,17:21
45:40,17:21
45:18,17:21
44:52,17:21
44:03,17:21
44:02,17:21
43:54,17:20
43:14,17:20
42:26,17:20
42:13,17:20
41:41,17:19
41:41,17:19
40:51,17:19
40:47,17:18
40:32,17:18
40:03,17:17
39:04,17:17
38:59,17:17
38:44,17:17
38:11,17:16
38:03,17:16
37:54,17:16
37:03,16:16
36:50,16:15
36:31,15:15
35:58,15:15
35:38,15:15
34:58,15:15
34:44,14:15
34:05,14:15
33:57,14:15
33:24,14:15
32:46,14:15
32:16,13:15
32:07,13:15
31:39,13:15
31:34,13:14
31:27,13:14
31:15,13:14
30:36,13:14
30:30,13:13
30:00,13:13
29:28,13:13
28:56,13:13
28:34,13:12
28:27,13:12
28:20,13:12
27:38,12:12
27:03,12:12
26:58,11:12
26:48,11:12
26:14,10:12
26:09,10:11
25:34,10:11
25:12,10:11
24:44,10:11
24:15,10:11
24:13,10:11
23:57,10:11
23:11,10:11
22:59,9:11
22:22,9:10
21:32,9:10
20:11,9:9
19:26,8:9
19:19,8:9
18:35,8:9
18:09,8:9
17:52,8:9
17:26,8:8
17:05,8:8
16:08,8:8
15:59,8:7
14:56,8:7
14:29,8:6
14:23,8:6
13:54,8:6
13:35,8:5
13:23,8:5
13:06,7:5
12:41,7:5
12:38,7:4
11:59,7:4
11:38,7:3
11:15,6:3
11:02,6:3
10:45,5:3
09:58,5:2
09:30,4:2
08:52,4:2
08:32,3:2
08:09,3:2
07:08,3:2
06:42,2:2
06:39,2:2
06:23,2:2
05:52,1:2
05:42,1:1
05:14,0:1
04:34,0:1
04:02,0:1
03:21,0:0
03:21,0:0
03:16,0:0
02:50,0:0
02:23,0:0
01:59,0:0
01:44,0:0
