timestamp,score
59:55,24:23
59:36,24:23
58:47,24:23
57:29,24:22
56:40,24:22
56:15,24:22
55:48,23:22
55:10,23:22
55:06,22:22
54:36,22:22
54:34,22:22
54:15,22:22
53:37,22:21
53:04,21:21
52:28,21:21
51:57,21:21
51:29,21:21
51:21,21:21
50:52,21:21
50:43,21:21
50:37,20:21
49:27,19:21
48:55,19:20
48:36,19:20
48:36,19:20
48:26,19:20
47:59,19:20
47:45,19:20
47:30,19:20
46:57,18:20
46:28,18:19
46:00,17:19
45:42,17:18
45:11,17:18
44:29,17:18
43:47,17:18
43:31,17:18
43:08,17:18
42:15,17:18
42:04,16:18
41:33,16:17
41:14,15:17
41:03,15:17
40:16,15:17
40:06,15:17
39:27,15:16
39:15,14:16
38:44,14:16
38:37,14:16
37:49,14:16
36:24,14:15
36:16,13:15
36:08,13:14
35:30,13:14
35:21,13:13
34:53,13:13
34:41,13:13
34:02,13:13
33:28,13:12
32:54,13:12
31:55,13:12
31:14,13:12
30:43,13:11
30:00,12:11
29:28,12:11
29:24,11:11
28:30,11:11
27:31,10:11
26:59,10:11
26:26,10:10
26:21,10:9
25:35,10:9
25:29,10:9
25:18,10:9
24:14,10:9
23:44,9:9
22:49,9:9
22:41,9:8
21:44,9:8
21:37,9:7
20:21,9:7
20:10,9:7
19:32,9:7
19:18,8:7
18:47,8:7
18:31,7:7
17:51,7:7
16:42,7:6
16:42,7:6
16:34,7:5
16:21,7:5
15:52,7:5
15:45,7:5
15:10,7:5
14:32,6:5
14:26,6:4
14:15,6:4
13:05,6:3
12:56,5:3
12:27,5:3
12:12,5:3
11:12,5:3
10:34,5:3
10:17,4:3
09:39,4:3
09:28,4:2
08:40,4:2
08:02,4:2
07:44,4:1
06:34,4:1
06:07,3:1
05:28,3:1
04:53,3:1
04:28,3:1
04:11,3:1
03:37,2:1
03:15,2:1
02:58,2:1
02:45,1:1
02:11,1:1
01:59,1:1
01:48,1:1
00:44,0:1
