timestamp,score
59:45,34:29
59:16,34:28
58:05,33:28
58:05,33:28
57:15,33:28
57:06,33:28
56:28,32:28
55:51,32:27
55:19,32:27
55:09,32:26
54:17,32:26
53:38,32:25
53:33,31:25
52:56,31:25
52:51,31:25
52:12,30:25
52:00,30:24
51:24,29:24
50:54,29:24
50:27,28:24
50:22,28:23
49:48,28:23
49:15,28:23
48:10,28:22
47:51,27:22
47:46,27:22
47:39,27:22
46:56,27:22
46:50,27:22
46:20,27:22
45:52,26:22
45:14,26:21
44:50,25:21
44:11,25:21
43:42,25:21
43:30,25:21
42:55,25:21
42:48,25:21
41:34,24:21
41:19,24:20
40:44,24:20
39:56,24:19
39:26,23:19
39:16,23:19
38:28,22:19
38:01,22:19
37:13,22:19
37:11,22:19
36:44,22:18
36:38,21:18
36:28,21:18
35:56,20:18
35:47,20:17
35:10,19:17
34:33,19:17
34:28,19:17
33:33,18:17
33:06,18:17
32:58,18:17
32:01,18:17
31:52,17:17
31:07,17:17
30:35,16:17
29:56,16:17
29:23,16:17
29:03,16:17
28:21,16:17
28:13,16:17
27:30,15:17
27:24,15:16
26:51,15:16
26:41,15:16
25:40,14:16
25:28,14:15
24:50,14:15
24:02,14:14
22:59,13:14
21:59,13:13
21:16,12:13
20:20,12:13
20:14,12:13
19:46,11:13
19:37,11:12
19:16,10:12
18:55,10:12
18:19,10:12
17:58,10:11
17:49,10:11
17:32,10:11
17:24,10:11
17:19,10:10
16:40,10:10
15:56,10:9
15:49,9:9
15:27,9:9
14:45,9:9
14:44,9:9
13:40,8:9
13:28,8:8
12:55,7:8
12:46,7:7
12:26,7:7
12:17,7:7
11:59,7:7
11:17,7:7
11:10,7:6
10:37,7:6
09:52,7:5
09:04,6:5
08:59,6:4
08:20,6:4
07:52,5:4
07:41,5:4
07:12,4:4
06:50,4:4
06:27,4:4
05:49,4:4
05:13,3:4
05:04,3:3
04:44,2:3
04:28,2:3
04:07,2:2
03:38,2:2
03:18,2:2
02:56,1:2
02:38,1:2
02:31,1:1
02:13,1:1
01:34,1:1
00:43,1:0
00:39,0:0
