timestamp,score
60:00,25:28
59:53,24:28
59:24,24:28
59:15,23:28
58:29,23:27
58:18,22:27
58:12,22:27
57:46,22:26
57:36,21:26
56:59,21:26
56:49,20:26
56:01,20:25
55:08,19:25
54:21,19:25
54:03,19:25
54:03,19:25
53:56,19:25
53:03,19:25
52:09,19:25
52:04,19:24
51:20,19:24
51:02,19:24
50:41,19:24
50:07,18:24
49:48,18:23
48:40,18:23
47:58,18:23
47:45,18:22
47:20,18:22
46:16,17:22
45:59,17:21
45:04,17:21
44:50,16:21
44:16,16:20
44:07,16:20
44:01,16:20
43:41,16:20
42:54,16:20
42:34,16:19
42:21,16:19
42:09,16:19
41:56,16:18
41:34,15:18
41:21,15:18
40:44,15:18
39:51,15:18
39:31,15:17
38:58,15:17
38:47,15:17
38:09,15:16
37:58,15:16
37:25,15:15
37:19,15:15
37:13,15:15
36:18,15:15
36:12,15:15
35:13,15:15
34:18,15:14
33:21,15:14
32:50,15:13
31:48,15:13
31:19,15:12
30:22,14:12
30:00,14:11
29:28,14:11
28:28,14:11
28:20,14:10
27:42,14:10
27:13,13:10
26:26,13:9
26:22,12:9
25:38,12:9
24:34,12:9
23:46,12:9
23:42,12:9
23:38,12:9
23:08,12:9
22:36,11:9
22:26,11:9
21:50,11:9
20:58,10:9
20:34,10:8
20:21,10:8
19:49,10:8
19:42,9:8
19:30,9:8
18:34,9:8
18:26,8:8
17:51,8:8
17:18,8:8
16:49,8:7
16:40,8:7
15:19,8:7
14:21,8:7
14:17,8:6
13:59,8:6
13:50,8:6
13:39,8:6
13:04,8:6
12:57,7:6
11:57,7:6
11:00,6:6
10:57,6:6
10:38,6:6
10:26,6:5
09:45,5:5
09:05,5:5
08:53,4:5
08:45,4:5
08:35,4:5
08:10,4:4
07:24,4:4
07:16,3:4
06:52,3:3
05:50,3:3
05:45,3:3
04:55,3:2
04:15,2:2
03:28,2:1
03:16,1:1
02:49,1:1
02:46,0:1
02:27,0:1
02:16,0:1
01:11,0:0
00:40,0:0
