timestamp,score
59:58,27:32
59:55,27:32
59:29,27:32
59:16,27:31
59:02,26:31
58:46,26:30
58:43,26:30
58:40,25:30
58:25,25:30
58:03,25:30
57:53,24:30
56:37,24:29
56:05,24:29
56:00,24:29
55:11,24:29
54:44,23:29
53:36,23:28
53:11,23:28
52:41,23:27
52:38,23:27
51:49,23:27
51:38,22:27
51:35,22:27
51:24,22:27
50:47,22:27
50:23,22:26
49:18,21:26
48:57,21:26
48:13,21:26
47:50,21:26
46:38,21:25
46:02,20:25
45:39,20:25
45:06,19:25
44:35,19:24
44:01,19:24
43:58,19:23
43:34,19:23
43:31,19:23
43:21,18:23
42:19,18:23
42:15,17:23
41:12,17:23
40:56,16:23
40:04,16:23
39:56,15:23
39:20,15:23
38:25,15:23
37:49,15:23
36:45,15:23
36:36,15:22
36:26,14:22
35:57,14:21
35:09,13:21
35:03,13:21
34:33,13:21
34:23,13:20
33:31,12:20
33:27,12:19
33:27,12:19
32:28,12:19
32:21,11:19
32:12,11:19
31:06,11:19
30:33,11:19
30:00,10:19
29:58,10:19
29:49,9:19
29:46,9:18
29:08,9:18
28:34,9:18
27:40,9:17
27:34,8:17
27:29,8:17
27:24,8:17
27:13,8:17
26:23,8:17
26:11,8:17
25:27,8:16
25:10,7:16
24:31,7:16
24:29,7:15
24:19,7:15
23:49,7:15
23:38,7:15
23:22,7:14
23:12,6:14
22:45,6:13
22:27,6:13
21:45,6:12
21:38,6:12
21:10,6:12
20:32,6:12
20:26,6:12
19:26,6:11
17:56,6:11
17:21,6:10
16:27,5:10
16:20,5:9
15:22,5:9
15:08,5:8
15:00,4:8
14:25,4:8
14:06,4:8
13:54,4:8
13:03,4:7
12:27,4:7
11:53,4:6
11:46,4:6
11:43,4:5
11:33,4:5
10:53,4:5
09:31,4:5
09:23,4:5
08:30,3:5
08:18,3:5
07:47,2:5
07:46,2:5
07:37,2:4
07:01,2:4
06:43,2:4
06:34,2:4
06:05,2:4
05:57,2:4
05:53,1:4
05:38,1:4
05:30,1:4
04:53,1:3
04:32,0:3
04:19,0:3
04:13,0:2
02:42,0:2
02:35,0:1
01:45,0:1
01:34,0:1
00:38,0:1
