timestamp,score
59:37,33:25
59:06,33:25
58:57,32:25
58:45,32:25
58:22,32:25
57:51,32:24
57:46,31:24
57:35,31:24
57:05,30:24
56:59,30:23
56:43,30:23
56:40,30:23
55:54,29:23
55:45,29:22
55:16,28:22
54:58,28:22
54:51,28:22
54:21,27:22
53:47,27:22
53:29,27:22
53:15,27:22
52:44,27:22
52:39,27:22
52:07,26:22
51:17,26:21
51:13,26:21
51:04,26:21
50:29,26:21
49:35,25:21
49:25,25:20
48:48,24:20
48:08,24:19
47:43,23:19
46:51,23:19
46:21,23:19
46:17,23:19
45:35,23:19
45:26,23:19
44:24,23:19
44:13,23:19
43:13,22:19
42:44,22:19
41:48,21:19
41:42,21:18
40:50,21:18
40:44,21:18
40:06,21:18
39:14,21:18
39:06,21:18
38:14,21:18
38:08,20:18
37:03,20:18
36:54,20:18
36:47,20:18
36:05,20:18
35:57,19:18
34:56,19:18
34:19,18:18
34:03,18:17
33:20,17:17
32:22,17:16
31:56,16:16
31:43,16:16
30:59,16:15
30:00,15:15
30:00,15:15
29:51,15:15
29:05,15:15
28:57,14:15
28:22,14:15
27:30,14:15
27:16,14:15
26:32,14:15
26:23,14:15
25:40,14:15
25:34,14:14
25:29,14:14
25:00,14:14
24:09,14:13
23:23,13:13
22:45,13:12
22:02,13:12
21:53,13:11
21:00,12:11
20:11,12:10
20:05,12:10
18:51,11:10
18:27,11:9
18:03,11:9
17:33,10:9
17:32,10:9
16:55,10:8
16:23,9:8
15:49,9:7
15:38,8:7
14:53,8:7
14:27,8:7
14:24,8:6
14:07,8:6
13:14,8:6
13:05,8:5
12:35,7:5
12:29,7:4
11:21,7:4
11:12,6:4
10:04,6:4
09:10,5:4
08:55,5:4
08:37,4:4
07:26,4:4
06:46,4:3
05:56,3:3
05:41,3:2
05:36,2:2
04:40,2:2
04:14,1:2
04:11,1:1
03:25,1:1
03:23,1:0
02:27,1:0
02:16,0:0
02:11,0:0
01:33,0:0
