timestamp,score
59:59,28:29
59:50,28:29
59:39,28:29
59:28,28:28
59:05,28:28
58:56,27:28
58:19,27:27
57:47,27:27
57:16,27:26
57:13,26:26
56:16,26:26
55:35,26:26
55:01,26:25
53:44,25:25
52:50,25:24
51:55,25:24
50:58,25:23
50:44,24:23
50:38,24:22
49:35,24:22
49:06,24:21
48:56,24:21
48:21,24:20
47:56,23:20
47:43,23:20
47:12,23:20
46:37,23:20
46:04,23:20
45:59,22:20
45:33,22:20
45:23,21:20
44:51,21:20
44:44,20:20
43:46,20:20
42:59,20:20
42:13,20:20
41:59,20:19
41:52,19:19
41:19,19:19
40:14,19:19
39:39,19:19
39:08,19:19
38:43,18:19
37:42,18:18
37:42,18:18
36:36,17:18
36:25,17:17
35:53,17:17
35:49,17:16
35:06,17:16
34:40,17:15
33:45,17:15
33:23,17:15
33:12,17:15
33:01,16:15
32:26,16:14
32:15,16:14
30:58,16:13
30:00,15:13
28:41,15:13
27:56,15:12
27:04,15:12
26:28,15:12
25:56,15:12
25:49,15:12
25:16,15:11
25:12,14:11
24:15,14:11
24:00,14:11
23:08,14:10
23:04,13:10
21:58,13:10
21:46,12:10
21:18,12:9
21:10,12:9
20:37,12:9
20:32,12:9
19:55,12:9
19:18,12:9
19:11,12:9
19:03,12:9
18:59,11:9
18:39,11:9
18:18,11:9
17:18,10:9
16:26,10:8
16:17,9:8
16:08,9:7
15:18,8:7
14:44,8:7
14:34,7:7
14:06,7:6
13:05,6:6
12:55,6:5
12:22,5:5
12:08,5:5
11:55,5:5
11:04,5:4
10:54,5:4
10:21,5:4
09:43,5:4
09:06,5:3
08:56,4:3
08:24,4:3
08:10,4:3
07:59,4:3
07:43,3:3
06:59,3:3
06:09,2:3
06:03,2:3
05:55,2:3
05:38,2:3
04:48,2:2
04:11,2:2
03:29,2:1
03:23,1:1
03:00,1:1
02:49,1:1
02:11,1:1
02:00,1:1
01:31,1:0
00:56,0:0
