timestamp,score
59:59,26:33
59:54,26:33
59:44,26:33
59:13,26:33
58:41,26:33
58:31,25:33
58:03,25:33
57:59,24:33
57:48,24:33
57:23,24:32
57:22,24:32
57:14,23:32
56:34,23:32
56:24,22:32
55:45,22:32
55:37,22:32
55:12,22:32
55:12,22:32
54:59,22:32
54:51,22:31
54:15,22:31
54:11,22:31
53:39,22:31
53:34,22:30
52:59,22:30
52:33,22:29
52:25,22:29
52:15,22:29
51:44,21:29
51:39,21:28
51:12,21:28
50:31,20:28
49:42,20:27
49:37,20:27
49:29,20:27
48:52,20:27
48:25,19:27
48:20,19:26
47:57,19:26
47:53,19:26
47:04,19:26
46:52,19:26
46:48,19:26
46:08,19:26
45:58,19:26
45:24,19:25
44:53,18:25
44:39,18:25
44:25,18:25
44:05,18:25
43:16,18:25
42:53,18:25
42:49,18:25
42:43,18:24
42:07,18:24
41:37,18:23
40:49,18:23
40:49,18:22
40:43,18:22
40:03,18:22
39:50,18:22
39:38,18:21
39:32,17:21
39:30,17:20
38:55,17:20
38:48,17:20
38:41,17:20
37:42,17:20
37:10,17:20
37:06,17:20
36:47,17:20
35:51,16:20
35:16,16:19
34:38,16:19
34:02,16:18
33:51,15:18
33:24,15:18
33:15,15:18
33:10,15:18
33:01,15:18
32:45,15:18
31:21,14:18
31:13,14:17
30:56,14:17
30:25,14:16
29:59,13:16
29:28,13:16
28:54,13:15
27:39,13:15
27:17,13:14
26:49,12:14
26:45,12:13
26:21,12:13
26:15,12:13
26:02,12:13
25:30,12:13
25:16,12:13
25:08,12:13
24:53,12:13
24:15,12:13
23:42,11:13
23:36,11:12
22:51,11:12
22:41,11:11
22:12,11:11
22:04,11:10
21:25,10:10
21:18,10:10
20:56,10:10
20:52,9:10
20:26,9:10
19:31,8:10
19:07,8:9
18:17,8:9
18:13,7:9
17:29,7:9
16:08,7:9
15:31,6:9
15:18,6:9
14:21,6:9
14:15,6:9
14:06,6:9
13:19,6:9
12:56,6:8
12:43,6:8
12:12,6:8
11:32,6:7
11:23,5:7
10:47,5:6
10:14,4:6
09:37,4:5
09:33,3:5
09:17,3:5
08:42,3:4
08:09,3:4
07:27,3:3
07:04,3:3
06:52,3:3
06:42,3:2
06:30,3:2
06:20,3:1
05:34,2:1
05:18,2:1
04:37,2:1
04:25,2:1
03:44,2:1
03:03,1:1
02:56,1:0
02:41,1:0
02:14,1:0
02:11,0:0
01:33,0:0
00:34,0:0
