timestamp,score
59:41,27:25
59:37,27:24
59:16,27:24
59:07,27:24
59:04,26:24
59:00,26:24
58:50,26:24
58:33,25:24
58:19,25:23
57:43,24:23
57:35,24:23
57:11,24:23
57:04,24:22
56:27,24:22
55:35,24:22
54:48,23:22
54:34,23:21
54:06,22:21
53:57,22:20
53:52,21:20
53:15,21:20
52:39,21:20
52:36,20:20
52:23,20:20
51:56,20:20
51:54,19:20
51:05,19:20
51:01,18:20
50:53,18:20
50:42,18:20
50:19,18:20
49:05,18:19
48:59,18:19
48:54,18:19
48:38,18:19
48:25,17:19
48:01,17:18
47:50,17:18
47:33,16:18
46:55,16:18
46:15,16:17
46:01,15:17
45:53,15:17
45:16,15:17
44:45,14:17
44:38,14:17
43:47,14:17
43:43,14:16
42:58,14:16
42:58,14:16
42:46,14:15
41:54,13:15
41:27,13:15
41:24,13:14
40:46,13:14
40:16,13:14
40:07,13:13
38:57,13:13
38:27,13:13
38:01,12:13
37:43,12:12
36:44,12:12
36:41,12:12
36:29,11:12
35:12,11:12
35:05,11:12
34:32,11:12
34:23,11:11
33:55,11:11
33:46,11:10
33:36,11:10
33:26,11:10
31:28,11:10
31:24,11:10
31:15,11:10
30:38,11:10
30:00,10:10
29:38,10:10
28:22,10:10
27:30,10:10
26:51,9:10
26:10,9:9
25:58,9:9
25:19,9:9
25:13,9:9
25:00,8:9
24:35,8:8
24:02,8:8
23:41,8:8
23:33,8:7
23:00,8:7
22:28,8:6
21:58,8:6
21:26,8:6
20:46,8:6
20:24,8:5
20:20,8:5
19:43,8:5
18:23,7:5
18:18,7:4
17:10,7:4
16:39,7:4
16:14,6:4
15:32,6:4
14:45,5:4
14:27,5:3
14:15,5:3
13:34,5:3
13:22,5:3
13:15,4:3
12:49,4:3
11:54,4:3
10:48,3:3
10:38,3:3
10:06,2:3
09:53,2:2
08:34,2:2
08:17,2:2
07:39,1:2
06:41,1:2
06:35,0:2
06:29,0:2
05:50,0:2
05:42,0:2
04:26,0:2
02:46,0:1
02:00,0:1
01:54,0:0
00:50,0:0
