timestamp,score
60:00,30:24
59:22,30:24
59:20,30:23
58:16,30:23
57:41,29:23
57:03,29:23
56:30,29:23
56:06,29:22
55:24,28:22
54:49,28:21
54:09,28:21
53:27,28:21
52:25,28:21
51:42,28:20
51:41,28:20
51:33,28:20
51:02,28:20
50:31,27:20
50:19,27:20
50:15,26:20
49:41,26:20
49:07,25:20
48:31,25:19
48:00,24:19
47:38,24:18
47:29,24:18
47:14,24:18
46:46,23:18
46:01,23:18
45:03,23:17
44:48,22:17
43:47,22:17
43:35,22:17
42:51,21:17
41:59,21:17
41:24,21:17
41:19,21:17
41:15,21:16
40:43,21:16
40:37,21:15
40:06,21:15
39:44,21:15
39:06,21:15
38:46,21:14
38:46,21:14
38:38,21:14
38:25,21:14
37:51,21:14
37:44,21:14
37:19,21:14
36:40,21:14
35:48,21:14
35:47,21:14
35:25,20:14
34:58,20:14
34:08,20:14
33:38,19:14
32:40,19:13
32:24,18:13
31:46,18:13
31:13,18:13
30:42,17:13
29:56,17:13
29:32,17:13
28:54,16:13
28:45,16:12
28:00,16:12
27:52,16:12
27:04,16:12
26:50,16:12
26:26,16:12
25:57,16:12
25:16,15:12
25:01,15:11
24:29,15:11
24:22,14:11
24:12,14:11
23:01,14:11
22:50,14:10
22:35,13:10
22:19,13:10
22:11,13:9
21:37,12:9
20:49,12:8
20:34,12:8
19:36,12:8
19:31,12:7
18:59,12:7
18:12,11:7
17:43,11:6
16:47,10:6
16:10,10:5
15:50,10:5
15:18,9:5
14:47,9:5
14:35,9:4
14:30,9:4
13:58,9:4
13:45,8:4
13:11,8:4
11:21,8:4
11:07,8:3
10:19,8:3
10:15,8:3
10:07,7:3
09:47,7:3
09:19,7:3
09:03,6:3
07:55,6:3
07:14,5:3
07:04,5:3
06:58,5:2
06:47,5:2
06:12,5:1
06:08,4:1
05:20,4:1
05:16,3:1
04:37,3:1
04:24,2:1
03:33,2:1
02:36,1:1
02:12,1:1
01:59,1:1
01:52,1:1
01:31,0:1
01:08,0:1
00:39,0:0
