timestamp,score
60:00,26:25
59:56,26:24
59:55,26:24
59:25,26:24
59:17,26:23
58:56,25:23
58:48,25:23
58:39,25:23
58:24,25:23
58:20,25:23
58:13,25:23
58:11,25:23
57:48,25:22
57:20,24:22
56:42,24:22
56:27,24:22
55:38,24:22
55:29,24:22
54:59,23:22
54:59,23:22
54:51,23:21
53:57,23:21
53:50,23:20
53:01,23:20
52:39,23:20
52:32,23:20
51:53,22:20
51:43,22:19
50:48,21:19
50:14,21:19
49:43,21:19
49:00,21:19
48:32,20:19
47:55,20:19
47:36,19:19
47:36,19:19
47:00,19:19
46:37,19:19
46:09,18:19
45:46,18:18
45:10,18:18
44:52,17:18
43:58,17:18
43:49,17:17
42:45,17:17
42:25,17:17
42:24,17:17
41:33,17:17
40:52,16:17
40:42,16:17
40:33,16:17
39:58,16:17
39:21,16:17
38:31,16:17
38:25,16:17
38:13,16:17
38:03,15:17
37:30,15:17
36:12,15:17
36:09,15:16
35:34,15:16
34:52,15:15
34:17,14:15
33:49,14:14
32:50,13:14
32:43,13:14
32:06,13:14
32:02,13:13
31:04,13:13
30:51,13:12
30:43,12:12
30:38,12:12
29:55,12:12
29:40,12:12
29:33,12:12
28:53,12:12
28:47,12:12
28:45,11:12
27:56,11:12
27:53,11:11
27:14,11:11
25:59,11:11
25:40,10:11
25:06,10:11
25:01,10:11
24:42,10:11
24:33,10:11
24:14,10:10
23:23,10:10
23:21,10:10
22:46,10:10
22:35,10:10
22:04,10:9
21:29,9:9
20:51,9:9
20:47,8:9
20:16,8:9
20:14,8:9
19:44,8:9
19:27,8:9
18:55,7:9
18:12,7:9
18:02,6:9
17:30,6:8
16:58,5:8
16:17,5:8
16:14,5:8
15:43,5:8
15:25,5:7
15:20,5:7
15:12,5:7
14:17,5:7
14:09,5:6
13:33,4:6
13:01,4:5
12:55,4:5
11:57,4:5
11:48,4:4
10:53,4:4
10:31,4:3
09:37,4:3
09:22,4:3
09:11,4:3
08:35,3:3
07:55,3:2
07:16,3:2
07:07,3:2
06:34,2:2
06:11,2:1
05:54,2:1
05:06,2:1
05:04,2:1
04:31,2:1
03:33,2:0
02:56,1:0
02:19,1:0
01:43,0:0
01:29,0:0
01:09,0:0
00:34,0:0
