timestamp,score
60:00,26:25
59:08,26:25
58:42,25:25
58:04,25:24
57:53,25:24
57:51,25:24
57:22,25:24
56:43,25:24
55:51,24:24
55:51,24:24
54:48,24:24
53:56,24:23
52:57,24:23
52:32,24:22
51:15,23:22
51:10,23:22
50:42,23:22
50:20,23:22
49:37,22:22
49:21,22:21
48:01,22:21
47:20,22:20
46:44,21:20
46:17,21:20
45:58,21:20
44:51,20:20
44:49,20:20
44:43,20:20
44:12,20:20
43:25,20:19
42:36,19:19
41:32,19:18
41:29,19:17
40:59,19:17
40:25,19:17
39:38,18:17
39:26,18:17
38:40,17:17
38:09,17:16
37:29,16:16
37:08,16:15
36:37,16:15
36:30,16:14
36:09,16:14
35:38,16:14
35:22,16:14
34:46,16:14
34:26,15:14
33:50,15:14
33:44,15:14
33:10,15:14
33:03,15:14
32:24,15:14
31:46,15:14
31:20,14:14
31:17,14:13
29:45,14:13
29:39,14:13
28:35,14:13
27:48,14:13
27:40,14:13
26:57,14:13
26:17,13:13
25:50,13:12
24:53,12:12
24:50,12:11
24:13,12:11
24:08,12:11
23:52,11:11
23:41,11:10
22:26,11:10
22:21,11:9
22:21,11:9
22:02,11:9
21:30,11:8
21:21,10:8
20:22,10:7
19:34,9:7
19:32,9:7
18:42,9:7
17:37,9:7
17:04,8:7
16:57,8:7
16:34,8:6
15:49,8:6
15:38,8:5
14:22,7:5
14:16,7:4
14:03,7:4
13:40,6:4
13:37,6:4
13:01,6:3
12:52,5:3
11:48,5:3
11:18,4:3
10:41,4:3
10:41,4:3
09:42,3:3
09:03,3:3
08:59,2:3
08:49,2:3
08:10,1:3
07:14,1:2
06:14,1:2
05:08,1:2
05:01,1:1
04:30,1:1
03:15,1:1
02:40,1:1
01:19,0:1
