timestamp,score
59:58,26:21
59:31,26:20
59:02,25:20
58:12,25:19
57:51,25:19
57:24,25:19
57:10,25:19
57:02,25:19
56:57,25:19
56:28,25:19
56:10,25:19
55:32,25:19
54:58,24:19
54:58,24:19
53:36,24:19
52:35,23:19
52:07,23:18
52:03,23:18
51:34,23:18
50:24,23:18
49:56,22:18
49:08,22:18
48:49,22:18
48:39,22:18
47:50,22:18
47:41,22:18
46:58,22:18
46:44,21:18
46:06,21:18
45:52,21:18
45:18,21:18
45:14,20:18
44:22,20:18
44:20,20:18
43:34,20:18
43:10,20:18
42:31,19:18
42:04,19:18
41:28,19:18
40:49,18:18
40:15,18:17
39:27,18:17
38:39,18:16
38:32,17:16
37:15,17:16
37:07,17:16
36:38,17:16
35:37,16:16
34:34,16:15
33:48,15:15
33:40,15:14
33:33,15:14
32:56,15:14
32:48,14:14
31:52,14:13
31:42,13:13
31:11,13:13
30:32,12:13
29:59,12:12
29:32,12:11
29:15,12:11
28:21,12:10
27:14,12:10
26:33,12:10
25:54,11:10
25:18,11:9
24:40,11:9
24:01,11:8
23:33,10:8
22:44,10:8
22:37,9:8
21:31,9:8
21:20,9:8
21:11,9:8
19:47,9:8
19:24,8:8
19:15,8:8
18:05,8:8
17:54,7:8
17:00,7:8
16:27,7:8
15:55,7:7
15:15,6:7
14:42,6:6
13:57,5:6
13:52,5:5
13:23,5:5
13:19,5:4
12:38,5:4
12:29,4:4
11:34,4:4
11:15,3:4
10:24,3:3
10:15,3:3
09:22,3:3
09:20,3:3
08:41,2:3
08:33,2:2
07:56,2:2
06:57,2:2
06:29,2:2
05:37,2:1
04:54,2:1
04:51,1:1
04:06,1:1
03:56,0:1
02:59,0:1
02:18,0:1
00:49,0:0
