timestamp,score
59:52,32:40
59:24,32:39
59:22,31:39
58:52,31:39
58:36,31:38
57:56,31:38
57:28,31:38
57:26,31:37
56:37,31:37
56:08,31:37
55:34,31:37
55:25,30:37
54:34,30:37
54:08,29:37
54:08,29:37
53:45,29:37
53:39,29:37
53:08,28:37
52:43,28:37
52:12,27:37
51:37,27:36
51:08,26:36
51:05,26:36
49:49,26:35
49:41,25:35
49:37,25:34
49:06,25:34
48:59,25:34
47:58,25:34
47:53,24:34
47:48,24:34
46:43,24:34
45:54,24:33
45:52,23:33
45:41,23:33
44:42,23:33
44:17,23:33
44:09,23:33
43:33,23:32
43:23,22:32
42:18,22:31
42:15,21:31
41:14,21:31
41:08,20:31
41:05,20:31
40:56,20:31
40:14,20:31
39:48,19:31
39:42,19:30
39:37,19:30
38:55,19:30
38:31,19:30
38:28,19:30
38:20,18:30
38:16,18:29
37:32,18:29
37:15,18:28
36:24,17:28
36:19,17:27
36:19,17:27
36:02,17:27
35:38,16:27
35:18,16:26
34:39,16:26
34:15,15:26
33:38,15:26
33:06,15:26
33:06,15:26
32:14,15:25
32:04,15:25
31:55,15:24
31:53,14:24
30:35,14:24
29:58,14:23
29:37,13:23
28:51,13:23
28:41,13:23
28:36,13:22
28:06,13:22
27:27,13:21
27:13,13:21
26:21,13:21
26:21,13:21
25:46,13:20
25:09,12:20
23:58,12:19
23:56,11:19
23:06,11:19
23:01,11:18
22:43,11:18
22:27,11:17
21:56,11:17
21:23,10:17
20:24,10:16
20:18,9:16
20:14,9:15
20:02,9:15
19:09,9:15
18:19,8:15
17:04,8:14
16:52,7:14
16:00,7:13
15:44,6:13
15:32,6:13
14:39,6:12
14:03,6:12
13:46,6:12
13:20,6:11
13:04,6:11
12:50,6:11
12:18,6:10
12:08,5:10
11:52,5:9
11:13,4:9
11:08,4:8
10:56,4:8
10:46,4:8
10:21,4:8
09:15,3:8
09:09,3:7
07:48,3:7
07:39,2:7
07:23,2:6
06:36,2:6
06:30,2:6
06:11,2:5
05:48,1:5
05:12,1:5
04:56,1:5
04:24,1:5
04:10,1:5
03:40,1:4
03:16,1:4
03:04,1:4
02:49,1:3
02:13,0:3
02:03,0:2
01:42,0:2
01:34,0:2
01:31,0:1
01:24,0:1
01:21,0:0
00:37,0:0
