timestamp,score
59:42,26:24
59:28,26:24
59:10,26:24
58:23,26:24
58:09,26:23
57:02,25:23
56:50,25:22
56:12,25:22
56:04,25:22
55:40,25:22
55:23,24:22
55:08,24:22
54:08,24:22
53:57,24:21
53:17,24:21
52:39,24:21
51:45,23:21
51:45,23:20
51:30,23:20
51:03,23:20
50:51,23:20
50:06,23:20
49:42,23:20
49:19,22:20
48:46,22:19
48:06,22:19
47:17,22:19
47:07,22:19
45:47,21:19
45:34,21:18
44:29,20:18
44:03,20:17
43:49,20:17
42:56,19:17
42:30,19:16
42:19,18:16
41:36,18:16
40:53,17:16
40:10,17:15
39:41,17:15
39:12,17:14
39:07,17:14
38:32,17:14
38:27,17:14
38:10,17:14
37:23,17:14
36:45,17:14
36:24,17:14
35:45,17:14
35:05,17:14
34:56,16:14
34:16,16:13
33:27,15:13
33:02,15:13
32:54,15:12
32:49,15:12
32:16,15:12
31:55,14:12
31:46,14:12
30:50,14:12
30:00,14:11
29:58,14:11
29:21,14:11
29:13,14:11
27:36,14:10
27:31,13:10
27:26,13:10
27:21,13:10
26:42,13:10
25:46,13:9
25:40,12:9
25:23,12:9
24:53,12:9
23:55,11:9
22:57,11:9
22:01,10:9
21:55,10:8
21:50,9:8
21:19,9:8
21:02,9:8
20:28,8:8
19:46,8:8
19:36,8:7
18:28,8:7
18:24,8:6
17:51,8:6
16:45,8:5
16:13,7:5
15:45,7:5
15:02,7:5
14:38,7:5
14:35,7:4
14:13,7:4
13:56,7:4
13:51,7:4
13:26,7:4
13:21,6:4
12:26,6:4
11:23,5:4
10:24,5:4
09:35,5:4
09:00,5:4
08:50,5:4
08:03,4:4
07:14,4:4
07:10,4:3
06:41,4:3
06:23,3:3
06:06,3:3
05:57,3:3
05:35,3:3
04:59,3:3
04:37,3:2
04:26,2:2
03:45,2:1
02:32,1:1
01:42,1:0
01:03,1:0
00:32,1:0
