timestamp,score
59:53,23:20
59:48,23:20
59:08,23:20
59:08,23:20
59:04,22:20
58:42,22:20
58:29,22:20
58:15,22:19
58:11,22:19
58:03,22:19
57:31,21:19
57:21,21:19
57:11,21:19
56:48,20:19
56:28,20:18
55:53,19:18
55:19,19:18
55:18,19:18
54:49,18:18
53:33,18:18
53:16,18:18
51:55,18:18
51:19,17:18
51:02,17:17
49:59,17:17
49:58,17:17
49:14,16:17
49:09,16:16
48:32,16:16
48:23,16:16
48:18,16:16
47:35,16:16
47:00,16:16
46:25,16:16
46:17,16:16
45:09,16:16
44:29,15:16
43:52,15:16
43:51,14:16
43:39,14:16
43:03,14:15
42:32,14:15
41:39,14:14
41:08,14:14
41:02,14:14
40:10,14:14
39:24,13:14
38:39,13:13
38:24,12:13
38:16,12:13
38:00,12:13
37:28,12:13
37:09,12:13
36:59,12:13
36:07,12:12
35:58,12:12
35:50,12:12
34:59,12:12
34:40,12:12
34:00,11:12
33:25,11:12
33:00,10:12
32:01,10:12
31:18,10:12
30:47,10:11
29:58,10:11
29:52,10:11
28:30,10:11
28:24,10:10
28:03,10:10
28:00,9:10
27:43,9:10
27:25,9:10
27:13,9:10
26:49,9:10
26:45,9:10
26:15,9:10
25:46,9:10
25:41,8:10
25:09,8:9
24:56,7:9
23:44,7:9
22:54,6:9
21:58,6:8
21:52,6:8
21:13,6:8
21:07,6:8
20:43,6:8
20:14,6:8
19:59,6:8
19:19,6:8
18:41,6:8
18:10,6:7
18:01,5:7
17:47,5:7
17:19,5:7
17:07,5:6
16:32,4:6
15:57,4:6
15:32,4:6
15:27,4:6
15:15,3:6
14:24,3:6
14:14,3:6
13:47,3:6
13:39,3:6
13:14,3:6
13:11,3:6
12:25,3:5
11:51,3:5
11:44,3:5
11:34,3:5
11:17,3:5
10:31,3:5
09:21,2:5
09:12,2:5
08:42,2:5
08:42,2:5
08:32,1:5
07:59,1:4
07:57,0:4
07:39,0:4
06:52,0:4
06:36,0:4
06:09,0:4
05:33,0:4
05:23,0:3
04:48,0:3
04:30,0:3
04:00,0:3
03:49,0:3
03:30,0:2
02:57,0:2
02:52,0:2
02:31,0:2
02:11,0:2
01:27,0:2
01:21,0:1
00:37,0:1
00:31,0:0
