timestamp,score
58:49,33:22
58:34,32:22
57:49,32:22
57:36,32:22
57:11,32:21
56:43,31:21
56:06,31:21
56:03,30:21
55:36,30:21
54:31,30:20
54:08,29:20
53:43,29:20
53:30,29:19
52:14,29:19
51:33,29:19
51:10,29:19
50:28,28:19
50:16,28:19
50:01,28:19
49:23,27:19
49:03,27:18
48:35,26:18
48:31,26:18
48:21,26:18
48:09,26:18
47:34,25:18
47:09,25:17
46:35,24:17
45:55,24:16
45:20,23:16
45:12,23:16
44:48,23:16
44:28,23:16
43:55,22:16
43:19,22:15
43:15,22:15
43:10,21:15
42:51,21:15
42:19,21:15
41:47,21:15
41:26,21:15
40:59,21:15
40:55,21:15
40:45,21:15
40:32,21:15
40:21,21:15
40:10,20:15
39:36,20:15
39:04,20:15
38:29,19:15
37:39,19:15
36:42,18:15
36:36,18:14
36:25,18:14
35:57,17:14
35:05,17:13
33:44,16:13
33:41,16:12
33:32,16:12
33:06,16:11
32:39,16:11
32:28,16:10
31:55,15:10
31:48,15:9
30:34,15:9
30:01,15:9
29:59,15:9
29:44,14:9
29:38,13:9
29:03,13:9
28:29,13:9
27:24,13:8
27:18,13:8
26:23,13:8
25:47,13:8
25:04,12:8
24:45,12:7
24:17,12:7
24:13,11:7
24:04,11:7
23:39,11:7
23:26,11:7
23:08,11:6
23:00,11:6
22:19,11:6
22:16,11:6
21:49,11:5
21:45,11:5
20:50,10:5
20:46,10:4
20:18,10:4
19:40,10:4
17:34,10:4
17:33,10:4
17:33,10:3
17:33,9:3
17:33,9:2
17:33,8:2
17:33,7:2
15:19,7:1
15:14,7:1
15:11,6:1
14:58,6:1
14:53,6:1
13:52,6:1
13:37,6:1
13:27,6:0
12:48,5:0
11:34,5:0
11:10,5:0
10:39,5:0
10:34,5:0
10:05,4:0
09:09,4:0
09:02,3:0
08:30,3:0
07:56,3:0
07:37,3:0
07:03,3:0
06:59,3:0
06:17,3:0
05:30,2:0
04:07,2:0
04:02,2:0
02:47,2:0
02:09,1:0
00:47,1:0
00:36,1:0
00:29,1:0
