timestamp,score
60:00,27:22
59:41,27:22
59:13,26:22
58:28,26:22
57:56,26:22
57:48,26:21
57:23,25:21
57:17,25:20
57:12,25:20
56:38,25:20
56:38,25:20
56:24,24:20
56:14,24:19
55:37,24:19
55:19,24:19
54:47,24:19
54:20,23:19
53:46,23:19
53:07,22:19
52:38,22:19
51:44,22:19
50:44,22:19
50:13,21:19
49:48,21:19
49:06,21:19
48:50,21:18
48:50,21:18
48:33,21:18
47:20,20:18
46:48,20:18
46:42,20:18
46:14,20:18
45:20,20:18
44:55,20:17
44:11,20:17
43:54,19:17
43:50,19:17
42:09,19:17
41:59,19:17
41:53,18:17
41:46,18:16
41:07,18:16
41:03,17:16
40:28,17:16
40:13,17:16
39:28,17:15
39:20,16:15
38:39,16:15
38:12,15:15
38:10,15:15
38:05,15:15
37:30,15:15
36:17,14:15
35:40,14:15
35:07,13:15
34:36,13:14
33:50,13:14
33:42,13:14
33:28,13:14
32:29,13:14
32:02,12:14
31:35,12:14
30:24,11:14
29:58,11:14
29:35,11:14
28:26,11:14
28:03,11:14
27:33,11:13
26:56,11:13
26:54,11:13
26:25,10:13
25:25,10:12
24:51,10:11
23:57,9:11
23:31,9:10
23:22,9:10
23:07,9:9
22:19,9:9
21:33,8:9
20:26,8:8
19:34,7:8
19:21,7:8
18:48,7:8
18:37,6:8
17:55,6:7
17:29,6:7
16:42,6:7
15:52,6:7
15:23,6:7
15:15,6:7
14:41,6:7
14:13,6:6
13:36,5:6
13:03,5:6
12:50,5:6
12:42,5:6
11:32,5:6
11:24,5:6
10:56,5:6
10:49,5:5
10:25,5:5
10:22,4:5
10:10,4:5
09:10,4:4
08:51,3:4
07:38,3:4
07:31,3:3
06:59,2:3
06:47,2:3
06:18,1:3
06:14,1:3
06:08,1:3
04:53,1:3
04:53,1:3
04:42,1:2
03:58,1:2
03:47,0:2
03:09,0:2
02:23,0:2
02:19,0:1
02:13,0:1
01:59,0:1
00:51,0:1
00:39,0:0
