timestamp,score
60:00,30:30
59:40,30:30
59:31,30:30
59:10,30:30
58:46,30:30
57:56,30:30
57:44,30:29
57:16,30:29
56:59,30:28
56:27,29:28
56:00,29:27
54:55,29:27
54:47,29:26
54:42,28:26
53:37,28:26
52:41,28:26
51:49,28:26
51:40,27:26
51:25,27:26
50:23,26:26
49:48,26:25
49:21,25:25
49:21,25:25
48:53,25:24
48:21,25:24
48:20,25:24
47:42,25:24
47:13,24:24
47:09,24:23
47:00,24:23
46:19,24:22
46:10,23:22
45:06,23:22
45:06,23:22
45:03,23:22
44:07,23:22
43:48,23:22
42:59,23:21
42:56,22:21
42:04,22:21
41:51,22:20
41:43,22:20
41:20,22:20
41:10,22:20
40:58,22:20
40:33,22:20
40:31,21:20
40:11,21:20
39:28,21:19
38:50,20:19
38:10,20:19
37:21,19:19
36:29,19:18
35:59,19:18
35:40,19:17
35:22,18:17
34:43,18:17
34:30,18:17
33:54,18:16
33:43,17:16
33:38,17:15
32:54,17:15
32:34,17:14
32:22,17:14
32:04,17:14
31:51,17:13
31:16,17:13
30:41,17:12
29:50,17:12
29:50,16:12
29:40,16:12
28:53,16:12
28:17,15:12
26:51,15:12
26:48,15:12
26:36,15:12
25:48,15:12
25:38,14:12
24:57,14:12
24:27,14:12
24:25,14:12
24:11,14:11
23:42,14:11
23:34,14:10
22:52,14:10
22:46,14:9
22:36,14:9
22:04,14:9
21:53,13:9
21:10,13:8
20:31,12:8
20:17,12:8
20:14,11:8
19:48,11:8
19:33,11:7
19:32,11:7
18:52,11:7
17:59,11:7
17:28,11:6
17:09,11:6
17:08,11:6
17:01,10:6
16:37,10:6
16:21,10:6
15:19,10:6
14:53,10:6
14:50,9:6
14:17,9:6
13:46,8:6
13:46,8:6
13:46,8:5
13:40,8:5
13:04,8:5
12:52,8:5
12:38,8:5
12:22,8:5
11:17,8:5
11:01,8:4
10:52,7:4
10:16,7:4
09:44,6:4
09:37,6:4
09:32,6:4
08:49,6:4
08:07,5:4
08:02,5:4
07:09,5:4
07:03,5:4
06:47,4:4
06:33,4:3
06:05,4:3
05:48,3:3
05:19,3:3
05:06,3:2
04:50,2:2
04:02,2:2
03:13,1:2
02:58,1:2
02:45,1:2
02:05,0:2
01:35,0:1
01:06,0:1
00:54,0:0
00:48,0:0
