timestamp,score
60:00,31:27
59:53,31:27
59:05,30:27
58:57,30:27
58:27,30:27
58:21,30:26
58:11,30:26
57:57,30:26
57:50,30:25
57:25,30:25
56:57,30:24
56:10,29:24
55:37,29:24
55:15,29:24
54:44,29:24
54:18,29:23
53:50,29:23
53:45,29:23
53:26,29:23
53:02,29:23
52:19,29:23
51:44,28:23
51:37,28:22
51:17,28:22
51:14,28:22
51:08,28:21
50:51,28:21
50:26,28:21
49:42,27:21
49:07,27:20
48:40,26:20
48:15,26:20
47:48,26:19
47:27,25:19
47:06,25:19
46:42,25:18
46:05,25:18
45:46,25:17
45:40,25:17
45:29,25:17
44:48,25:17
44:20,24:17
44:02,24:16
43:42,24:16
43:27,24:16
43:08,24:16
43:05,24:16
42:26,24:15
41:54,23:15
41:28,23:15
40:32,23:15
40:04,22:15
39:39,22:14
39:14,22:14
38:58,22:14
38:26,22:14
38:11,22:14
37:43,22:14
37:32,21:14
37:05,21:14
36:44,21:14
36:38,21:14
35:52,21:14
35:48,20:14
35:15,20:14
34:50,19:14
33:56,19:13
32:58,18:13
32:41,18:13
31:45,17:13
31:12,17:13
30:52,17:13
30:25,17:13
29:59,16:13
29:59,16:13
29:39,16:12
29:20,16:12
28:41,16:12
28:23,16:11
27:23,16:11
27:13,16:11
26:48,16:11
26:43,16:11
26:27,15:11
26:12,15:10
25:59,14:10
25:26,14:10
24:24,13:10
24:20,13:10
24:12,13:10
23:29,13:10
23:21,13:10
22:36,13:10
22:35,13:10
21:54,13:9
21:44,12:9
21:02,12:9
20:52,12:9
20:03,11:9
19:30,11:9
19:25,10:9
19:07,10:9
18:21,10:9
17:52,10:9
17:34,10:9
17:00,10:9
16:41,10:9
16:36,10:8
15:36,10:8
15:29,10:7
15:27,10:7
15:24,10:7
14:43,10:7
14:02,10:7
13:34,9:7
13:28,9:6
12:49,9:6
12:25,9:5
12:22,9:5
12:08,8:5
11:47,8:4
11:37,8:4
10:47,8:4
10:30,7:4
10:09,7:3
09:42,6:3
08:54,6:2
08:45,6:2
08:09,5:2
07:58,5:2
07:37,5:2
07:20,4:2
06:40,4:2
06:17,4:2
05:29,3:2
04:53,3:2
04:37,2:2
03:33,2:2
03:33,2:2
03:07,2:1
02:21,1:1
02:10,1:0
01:30,1:0
00:53,1:0
00:47,0:0
