timestamp,score
59:52,25:24
59:41,25:24
59:23,25:24
58:59,25:23
58:08,24:23
57:59,24:22
57:19,24:22
56:34,23:22
55:50,23:21
55:30,22:21
55:22,22:21
54:45,22:21
53:48,22:21
53:44,22:20
53:01,22:20
52:49,22:19
51:34,22:19
51:34,22:19
51:27,22:18
51:19,22:18
51:08,22:18
50:42,21:18
50:40,21:18
49:36,21:18
49:02,21:18
48:58,21:18
48:21,21:18
48:15,21:18
47:52,21:18
47:16,21:18
46:38,21:17
46:15,21:17
45:47,21:16
45:46,21:16
45:15,20:16
44:50,20:16
44:45,19:16
43:39,19:16
43:37,19:16
43:27,19:16
43:21,19:16
42:43,19:16
42:16,18:16
42:11,18:16
41:40,18:16
40:52,17:16
39:58,17:16
39:14,17:16
38:34,17:15
38:32,16:15
37:32,16:15
37:28,16:14
37:07,16:14
35:37,15:14
35:37,15:14
35:36,15:14
35:27,15:13
35:21,15:13
34:18,15:13
34:07,15:12
33:21,14:12
33:10,14:12
32:38,13:12
32:24,13:11
31:32,12:11
31:24,12:11
31:16,12:11
30:33,12:10
29:30,11:10
28:53,11:9
28:23,10:9
27:20,10:8
27:12,10:8
26:36,10:8
25:48,10:8
24:52,10:8
24:03,10:7
23:59,10:7
23:50,10:7
23:47,10:6
23:29,10:6
23:25,10:6
22:44,10:5
22:40,10:5
21:44,10:5
21:20,10:5
20:52,10:5
20:42,10:5
20:34,9:5
19:46,9:4
19:29,9:4
18:16,9:4
18:05,9:4
17:28,9:4
17:11,9:4
16:32,9:4
16:00,8:4
15:11,8:3
14:09,7:3
13:20,7:2
12:24,6:2
11:50,6:2
11:40,5:2
10:52,5:2
10:43,5:2
10:13,5:2
10:09,5:2
09:52,5:2
09:11,5:1
09:07,5:1
09:01,5:1
08:51,4:1
07:20,4:1
07:13,3:1
06:41,3:1
06:22,2:1
05:48,2:0
05:24,1:0
04:46,1:0
04:44,1:0
04:32,1:0
03:40,1:0
03:03,0:0
02:09,0:0
01:36,0:0
01:17,0:0
00:39,0:0
