timestamp,score
59:44,20:26
59:15,20:26
58:40,19:26
57:30,19:26
56:59,19:26
56:36,19:26
56:25,19:26
56:00,19:26
55:01,19:26
55:01,19:26
54:33,19:26
53:55,19:25
52:21,19:25
51:47,18:25
51:41,18:25
50:36,18:24
49:29,18:24
48:58,18:23
48:45,18:23
47:52,18:22
47:44,18:22
47:28,18:22
46:43,17:22
46:05,17:21
45:32,16:21
45:19,16:21
45:08,16:21
44:50,16:21
44:08,15:21
43:56,15:20
43:32,14:20
42:56,14:19
42:47,14:18
42:14,14:18
41:56,14:17
41:51,14:17
41:07,13:17
40:01,13:16
39:03,12:16
38:41,12:15
38:13,12:15
37:45,12:14
36:38,12:14
34:57,12:14
34:04,12:14
33:23,11:14
33:16,11:13
33:04,11:13
32:27,11:13
31:57,10:13
31:24,10:12
31:16,10:12
31:06,10:12
30:57,10:12
29:25,10:12
28:03,9:12
27:24,9:11
26:58,9:11
26:44,8:11
26:10,8:11
26:04,8:11
24:31,8:11
24:05,8:10
23:34,8:10
22:47,8:10
22:40,8:10
21:29,8:10
21:13,7:10
20:45,7:10
20:20,7:10
19:25,7:11
18:57,7:11
18:52,7:11
18:42,7:11
18:10,7:11
17:57,6:11
17:26,6:10
16:11,5:9
15:56,4:9
15:51,4:8
15:42,4:8
15:10,4:8
14:57,4:8
14:49,4:7
14:11,4:7
13:57,4:6
13:15,4:6
12:28,4:6
11:57,3:6
11:27,3:6
10:52,3:6
10:45,3:5
10:16,3:5
09:44,3:4
09:18,3:4
08:34,3:4
07:47,3:4
07:14,3:4
06:54,3:3
06:03,3:3
05:58,3:3
05:34,3:3
05:02,3:3
04:55,3:2
04:37,3:2
04:09,3:1
04:00,2:1
03:05,2:0
02:12,1:0
02:06,1:0
01:40,1:0
00:37,1:0
