timestamp,score
59:50,23:24
59:23,23:24
58:33,23:24
57:28,23:23
56:34,23:23
56:27,23:22
55:33,23:22
55:15,23:21
54:57,23:21
53:42,22:21
52:49,22:21
52:41,21:21
52:02,21:20
51:06,21:20
50:53,21:19
50:30,20:19
48:41,20:19
48:05,20:18
47:40,20:18
47:11,20:18
46:53,19:18
46:36,19:18
46:18,19:18
44:19,19:18
44:08,19:17
44:00,19:17
43:22,19:17
43:15,19:17
42:52,19:16
42:13,19:16
42:06,19:16
41:13,19:16
41:10,19:15
40:33,19:15
40:16,19:15
39:16,19:15
39:16,19:15
39:05,19:15
38:04,19:15
37:29,18:15
36:31,18:14
36:21,18:14
35:47,18:14
35:21,17:14
33:28,17:14
33:14,17:14
32:07,16:14
30:41,16:14
29:46,16:14
29:40,16:14
29:40,16:14
29:15,15:14
28:42,15:13
28:02,14:13
27:28,14:13
26:50,14:12
26:22,14:11
26:12,14:11
25:55,13:11
25:38,12:11
25:17,12:10
24:58,13:10
24:27,13:10
24:20,12:10
23:45,12:10
22:49,12:10
21:52,12:10
21:09,12:10
20:28,12:10
19:48,11:10
19:18,11:10
18:43,11:9
18:07,10:9
16:55,10:9
16:40,10:9
16:06,9:9
15:33,8:8
15:26,9:8
14:48,8:8
14:19,8:7
13:51,8:7
13:45,8:6
13:28,8:6
13:22,7:6
12:27,7:6
12:09,6:6
11:42,6:5
11:21,5:5
10:49,5:4
10:27,4:4
09:54,4:4
09:49,4:4
09:38,4:4
09:04,4:4
07:50,4:4
07:40,4:4
07:03,4:3
06:51,4:3
06:17,4:2
05:39,3:2
05:34,3:1
04:38,3:1
04:24,3:0
03:46,2:0
03:37,2:0
03:31,1:0
00:55,0:0
