timestamp,score
60:00,25:25
59:26,25:25
59:14,24:25
58:33,24:25
57:43,24:25
57:12,24:24
56:57,24:24
56:23,24:24
55:31,24:24
54:45,24:23
54:35,24:23
53:54,24:23
53:36,23:23
52:52,23:22
52:47,22:22
52:17,22:22
52:11,22:21
52:03,22:21
51:25,22:21
50:24,22:21
49:22,22:20
49:05,22:20
48:12,22:19
47:43,21:19
47:09,21:18
46:29,21:18
45:53,21:17
45:23,21:17
45:08,21:17
44:39,21:17
44:32,20:17
44:14,20:17
43:47,20:17
43:28,20:16
43:03,20:16
42:53,20:16
42:44,19:16
42:19,19:16
42:13,18:16
41:53,18:16
41:28,17:16
40:33,17:15
40:15,16:15
40:05,16:15
39:05,16:15
38:46,16:14
38:07,15:14
37:15,15:14
37:08,14:14
36:15,14:14
35:08,14:14
34:19,14:13
34:10,14:13
33:14,14:12
32:47,14:12
32:04,14:11
31:59,13:11
31:14,13:11
31:03,13:11
30:31,13:10
29:58,13:10
29:49,13:10
29:37,13:10
28:52,13:10
28:32,13:10
28:18,13:10
27:37,13:9
27:01,13:9
26:28,13:9
26:16,12:9
26:12,12:9
25:34,12:9
25:01,12:9
24:47,12:9
23:49,12:9
23:39,12:9
22:48,12:9
22:31,11:9
21:22,11:9
20:26,11:9
20:12,10:9
19:40,10:8
19:10,9:8
18:47,9:7
18:43,9:7
18:39,9:7
18:31,8:7
17:17,8:7
16:47,7:7
16:05,7:7
15:31,7:6
14:40,7:6
14:40,7:6
14:06,7:5
13:51,7:5
13:07,7:4
12:38,7:4
12:31,6:4
11:10,6:4
10:43,5:4
09:48,5:4
09:38,4:4
09:21,4:3
08:31,4:3
08:24,4:3
07:43,4:3
06:53,4:2
06:43,3:2
06:08,3:1
06:00,3:1
05:15,3:1
04:39,3:1
04:24,2:1
03:47,2:1
03:40,1:1
02:45,1:1
02:40,1:1
01:59,1:1
01:40,1:1
01:29,1:1
01:02,1:0
00:49,0:0
00:38,0:0
00:30,0:0
