timestamp,score
59:57,24:25
59:51,24:25
59:25,24:24
58:12,24:24
58:08,24:23
58:01,24:23
57:34,23:23
56:49,23:22
56:07,23:22
55:56,23:21
55:23,22:21
55:08,22:20
54:33,21:20
54:30,21:19
54:04,21:19
53:12,21:19
53:03,21:18
52:40,20:18
52:37,20:18
52:27,20:17
51:52,20:17
51:41,20:16
51:02,19:16
50:27,19:15
49:42,19:15
49:03,19:14
48:31,18:14
48:26,18:14
47:34,18:14
47:23,18:13
46:43,17:13
46:00,17:12
45:30,17:12
45:22,17:11
44:20,17:11
44:04,17:11
43:30,17:11
43:19,17:10
42:38,16:10
42:17,16:10
42:09,16:10
41:34,15:10
41:27,15:10
41:11,15:10
40:39,14:10
39:56,14:9
39:24,13:9
39:03,13:9
38:19,13:9
38:14,12:9
37:33,12:9
37:00,12:9
36:51,12:8
36:11,12:8
35:44,12:8
35:29,12:8
35:01,11:8
33:58,11:8
33:40,11:8
32:53,11:8
32:39,11:8
31:53,10:8
31:21,10:8
31:04,10:8
30:24,10:8
29:50,10:8
29:26,10:8
29:03,10:8
28:33,10:7
27:56,10:7
27:49,10:6
27:28,10:6
26:24,10:6
25:43,10:5
25:18,9:5
24:42,9:5
24:19,9:5
24:08,9:5
24:06,9:5
23:33,9:5
22:32,9:5
21:14,9:4
19:46,8:4
18:54,8:4
18:14,8:4
17:37,7:4
17:28,7:3
17:14,7:3
17:08,7:3
16:42,7:3
16:14,7:3
15:42,7:3
15:36,7:3
15:07,6:3
14:27,6:3
13:46,6:3
13:34,6:3
12:51,5:3
12:41,5:2
12:19,5:2
11:21,5:2
11:03,5:2
10:42,5:2
10:12,5:2
10:07,4:2
10:05,4:2
08:31,4:2
08:20,4:1
07:23,3:1
06:58,3:1
06:30,3:0
06:13,2:0
05:37,2:0
05:24,2:0
04:41,1:0
04:31,1:0
03:52,1:0
02:34,1:0
02:28,0:0
01:54,0:0
01:00,0:0
00:52,0:0
