timestamp,score
59:52,25:27
59:41,24:27
59:18,24:27
59:16,24:27
59:05,24:27
58:47,24:27
58:38,23:27
58:11,23:26
57:18,23:26
56:43,23:26
56:02,23:25
55:31,23:25
55:17,23:24
54:47,23:24
54:39,23:24
54:09,23:24
54:04,22:24
53:38,22:24
53:34,22:24
53:27,22:24
52:42,22:24
52:29,22:24
52:26,21:24
52:00,21:24
51:21,21:23
51:03,21:23
50:53,21:23
50:29,21:22
50:19,20:22
49:48,20:22
49:44,20:22
49:24,20:22
48:47,20:21
48:35,19:21
48:30,19:20
48:08,19:20
48:02,19:20
47:55,19:20
47:01,19:20
46:52,18:20
45:44,18:19
45:40,17:19
45:33,17:19
44:39,17:19
44:05,16:19
43:34,16:19
43:02,16:19
42:46,16:19
42:08,16:19
41:48,16:19
40:46,16:18
40:43,15:18
40:38,15:18
40:25,15:18
39:09,14:18
39:04,14:18
38:27,14:18
38:22,14:17
37:39,14:17
37:12,14:16
36:18,14:16
36:13,14:15
36:01,14:15
36:00,13:15
35:52,13:15
35:50,13:14
35:41,13:14
35:14,13:14
34:21,13:13
33:45,13:13
33:06,13:13
32:54,12:13
32:44,12:12
32:32,12:12
32:24,12:11
31:46,11:11
31:39,11:11
31:29,11:11
30:37,11:11
30:26,10:11
30:00,10:11
29:46,10:11
29:40,10:11
29:36,10:11
28:59,10:11
27:51,10:11
27:41,9:11
26:55,9:11
26:41,8:11
26:01,8:11
25:53,8:11
25:01,8:11
24:37,8:10
24:37,8:10
24:09,8:10
23:40,8:10
22:58,8:10
22:01,8:10
21:10,8:10
20:52,8:10
20:11,8:9
20:08,7:9
20:01,7:9
19:24,7:9
19:13,7:9
18:18,7:8
18:05,6:8
17:30,6:8
17:14,6:8
16:33,6:8
16:05,6:8
16:03,6:7
15:26,6:7
15:17,6:7
14:47,5:7
14:16,5:7
13:36,4:7
12:59,4:7
12:22,4:6
12:13,4:6
11:20,4:6
10:21,4:6
09:50,4:5
09:47,4:5
09:37,4:5
08:56,4:5
08:53,4:4
08:42,4:4
08:07,4:4
07:43,3:4
07:35,3:4
07:12,3:4
06:58,3:4
06:21,3:4
06:12,3:4
05:36,3:3
05:21,2:3
04:55,2:3
04:43,2:3
04:34,2:2
04:15,2:2
03:47,2:2
03:39,2:1
03:24,1:1
03:17,1:1
02:45,1:1
02:23,1:0
01:51,1:0
01:44,0:0
01:19,0:0
01:05,0:0
