timestamp,score
59:51,23:22
59:39,23:22
59:24,23:22
59:06,23:22
58:45,23:22
58:26,22:22
58:19,22:21
58:04,22:21
57:45,22:21
57:24,22:21
57:17,22:21
56:24,22:20
55:14,21:20
54:24,21:20
53:44,20:20
53:21,20:19
52:43,19:19
51:40,19:19
51:30,19:19
51:12,18:19
48:16,18:19
48:08,17:19
48:01,17:18
48:01,17:18
48:01,17:17
48:01,17:17
48:01,17:17
48:01,17:17
48:01,17:17
47:44,17:17
47:12,16:17
46:36,16:16
46:22,15:16
45:50,15:16
45:36,15:16
44:39,15:16
44:37,14:16
44:11,14:16
44:04,14:15
42:33,14:15
42:30,14:14
41:35,14:14
41:12,14:14
41:06,14:14
40:53,13:14
40:20,13:14
39:28,13:14
39:28,13:13
39:28,13:13
39:18,13:13
39:13,13:13
38:27,13:13
37:54,13:12
37:09,12:12
36:29,12:12
35:49,11:12
35:41,11:12
35:31,11:12
34:50,11:11
34:39,11:11
34:28,11:11
33:53,11:11
32:38,11:11
32:34,11:11
32:24,11:11
31:49,10:11
31:44,10:11
31:31,10:11
31:05,10:10
30:31,10:10
30:00,10:10
29:56,10:10
29:44,10:10
29:33,10:10
28:52,10:10
28:47,9:10
28:14,9:10
27:54,9:10
27:42,9:10
27:02,9:10
25:54,9:9
25:50,9:9
25:10,9:9
24:35,9:9
24:01,8:9
23:11,7:9
23:05,8:9
22:12,7:9
21:59,7:8
21:48,7:8
20:58,7:8
20:40,6:8
20:01,6:8
19:45,6:8
18:46,6:8
18:20,6:7
17:38,6:7
17:27,6:6
16:55,5:6
16:03,5:6
15:52,5:6
14:56,5:6
14:44,5:6
13:45,5:6
13:31,4:6
13:14,4:6
12:42,4:6
11:59,4:6
11:25,4:6
10:45,4:6
10:26,4:6
10:12,4:6
10:02,3:6
09:43,3:5
09:35,3:5
09:07,3:5
08:49,3:5
08:23,3:5
08:13,3:4
07:32,3:4
07:23,3:3
06:54,3:3
06:44,3:3
06:13,3:2
05:54,3:2
05:08,3:2
05:00,3:1
04:27,3:1
04:06,3:0
03:16,3:0
02:37,2:0
02:33,1:0
02:23,1:0
01:54,1:0
01:50,1:0
01:38,1:0
01:00,1:0
