timestamp,score
60:00,28:29
60:00,28:29
60:00,28:29
59:17,28:29
59:09,27:29
58:52,27:29
58:18,27:28
57:50,27:28
56:57,27:28
56:26,27:28
56:00,27:28
55:26,27:28
54:55,26:28
53:41,26:27
53:20,25:27
52:21,25:27
51:43,25:26
51:29,24:26
50:22,24:26
49:48,24:25
48:53,23:25
48:21,23:24
48:14,23:24
47:41,22:24
46:52,21:24
46:48,21:24
46:42,21:24
46:30,21:24
44:54,20:24
44:46,20:23
44:22,19:23
44:11,19:22
43:30,19:22
42:52,19:21
42:07,18:21
41:34,18:21
41:12,17:21
40:31,17:20
40:27,16:20
40:22,16:20
39:33,16:20
38:37,15:20
38:00,15:20
37:23,14:20
36:29,14:19
36:11,13:19
36:00,13:19
35:30,12:19
34:39,12:18
33:58,11:18
33:56,11:18
33:07,11:18
32:55,11:18
32:27,11:18
32:06,11:18
31:42,11:18
30:28,11:18
30:00,10:18
29:56,10:17
29:47,10:17
29:10,10:17
29:02,10:16
27:56,10:16
27:45,10:15
27:34,10:15
27:21,10:14
26:30,9:14
25:53,9:13
25:16,8:13
25:10,8:12
25:06,7:12
24:26,7:12
23:58,7:11
23:26,7:11
23:10,7:11
22:26,7:11
22:20,7:11
21:28,7:11
21:16,7:10
21:03,7:10
20:44,7:9
20:16,6:9
20:02,6:9
19:32,6:9
19:07,6:9
17:57,6:9
17:08,5:9
16:57,5:8
16:38,5:8
16:05,5:8
15:24,4:8
14:51,4:8
14:19,3:8
13:54,3:8
13:51,3:7
13:40,3:7
13:09,2:7
12:52,2:6
12:33,1:6
12:06,1:6
12:03,1:6
11:21,1:6
11:14,1:5
10:15,1:5
09:03,1:4
08:32,1:3
07:53,1:3
07:47,1:2
07:23,1:2
05:57,1:2
05:38,1:2
05:16,1:2
04:06,1:2
03:36,1:1
03:21,0:1
03:09,0:1
03:00,0:1
02:04,0:1
01:54,0:0
01:23,0:0
01:01,0:0
