timestamp,score
59:48,29:30
59:34,28:30
59:30,28:29
58:56,28:29
58:27,27:29
58:18,26:29
57:44,26:28
57:37,26:28
57:26,26:28
56:10,26:28
55:44,26:27
55:37,26:27
55:23,26:27
54:24,25:27
54:09,25:26
53:27,25:26
53:27,25:25
53:18,25:25
52:47,24:25
52:42,24:24
51:53,24:24
50:41,23:24
50:38,22:24
50:18,22:24
49:16,22:24
48:40,23:23
48:30,22:23
48:17,22:22
47:23,22:21
46:36,22:21
46:29,22:21
46:23,22:20
45:51,22:20
45:23,21:20
45:16,20:20
45:05,20:19
44:12,20:19
43:32,20:18
42:38,20:18
42:29,20:18
41:35,19:18
41:04,19:17
40:49,18:17
40:10,18:17
39:47,18:17
39:17,18:17
39:06,18:16
38:33,18:16
38:31,18:16
38:21,18:15
37:02,18:15
36:51,18:14
36:24,17:14
35:47,17:13
34:39,17:13
34:03,17:12
32:34,17:12
31:58,17:11
31:50,17:11
31:31,17:11
31:14,16:11
30:35,16:11
30:00,15:11
29:40,15:11
28:26,15:11
27:59,14:11
27:46,14:10
27:06,14:10
26:42,13:10
26:35,13:10
25:59,13:9
25:25,12:9
25:21,11:9
24:50,11:9
24:30,11:9
23:57,11:9
23:51,11:9
23:07,10:9
22:41,10:8
21:44,10:8
21:32,10:8
21:02,10:8
21:02,10:8
20:32,10:8
20:24,9:8
19:49,9:8
18:29,8:8
17:46,8:8
17:00,7:8
16:02,7:8
15:27,7:8
14:54,6:8
14:20,6:7
14:13,6:7
13:36,6:6
13:02,5:6
12:41,5:5
12:05,5:5
11:56,4:5
11:28,4:5
11:12,4:5
11:12,4:5
10:38,4:5
10:33,4:5
10:25,4:5
10:13,4:5
09:25,3:5
09:14,3:4
08:37,3:4
08:23,3:4
07:47,3:3
07:15,2:3
06:41,2:2
06:36,1:2
05:47,1:2
05:03,1:2
04:21,1:2
04:15,1:2
03:58,1:2
03:15,1:1
02:59,0:1
02:38,0:1
02:34,0:1
02:03,0:1
01:25,0:1
01:08,0:0
