timestamp,score
60:00,34:22
59:41,34:22
59:34,33:22
58:51,33:22
58:51,32:22
58:44,32:22
57:59,32:21
57:49,31:21
57:21,31:21
57:10,31:21
56:53,31:21
56:13,31:21
56:01,30:21
55:36,30:21
55:10,29:21
54:36,29:20
54:36,29:20
54:28,28:20
54:05,28:19
54:02,28:19
53:41,27:19
53:35,27:19
53:23,27:19
53:15,26:19
52:36,26:18
52:01,25:18
51:53,25:18
51:36,25:18
51:28,25:17
51:21,25:17
50:29,25:17
50:19,25:17
49:33,25:17
48:55,24:17
48:47,23:17
48:10,23:17
47:24,23:17
47:18,23:17
46:38,23:17
46:24,23:16
45:43,23:16
45:38,23:16
45:22,23:16
44:30,23:15
44:25,22:15
43:30,22:15
43:18,21:15
42:15,21:15
41:38,21:15
41:10,21:14
40:40,20:14
40:40,20:14
40:39,20:14
40:06,20:14
38:44,19:14
38:18,19:13
38:15,19:13
38:01,19:13
37:54,19:13
37:12,19:12
36:43,18:12
35:48,18:11
35:36,18:11
35:04,18:10
34:25,17:10
34:15,17:9
34:03,17:9
33:18,17:8
33:03,17:8
32:10,17:7
31:59,16:7
31:35,16:7
31:22,15:8
30:44,15:7
29:46,15:7
29:00,15:7
28:52,15:7
27:50,15:7
27:41,14:7
27:21,14:7
26:56,13:7
25:55,13:6
25:01,12:6
24:19,12:5
24:15,11:5
23:18,11:5
23:08,11:5
23:01,11:5
22:57,11:5
22:49,11:5
22:15,11:5
22:09,10:5
21:42,10:5
21:34,10:5
20:50,10:5
20:16,9:5
19:49,9:5
19:31,8:5
19:16,8:5
18:17,8:5
17:58,8:5
17:26,8:5
16:48,8:5
16:28,7:5
15:52,7:4
15:23,7:4
15:21,7:4
14:11,7:4
13:40,7:4
12:44,7:4
12:33,7:4
12:01,7:3
11:53,7:3
11:18,7:3
11:09,7:3
10:53,6:3
10:18,6:3
09:36,5:3
09:05,5:2
08:49,4:2
08:35,4:2
08:03,4:2
07:58,3:2
07:06,3:2
06:58,2:2
06:30,2:1
05:57,1:1
05:46,1:1
04:47,0:1
04:37,0:0
04:07,0:0
03:53,0:0
03:48,0:0
03:08,0:0
03:01,0:0
02:41,0:0
02:04,0:0
01:08,0:0
00:31,0:0
