timestamp,score
59:58,35:28
59:36,35:27
59:13,35:27
59:09,35:27
58:33,35:27
57:43,35:26
56:53,34:26
56:43,34:25
55:55,33:25
55:45,33:24
54:57,33:24
54:16,33:24
53:47,32:24
53:38,32:24
53:24,31:24
52:45,31:24
52:28,31:23
52:03,31:23
51:57,31:23
51:11,31:23
51:03,31:23
50:32,31:23
50:02,31:23
49:35,30:23
48:58,30:22
48:33,29:22
48:23,29:22
47:59,29:22
47:35,29:22
46:43,28:22
46:26,28:22
45:58,28:22
45:48,28:22
45:44,27:22
45:34,27:22
45:15,26:22
44:49,26:21
44:11,26:21
44:04,26:20
42:50,26:20
42:23,25:20
41:59,25:20
41:37,25:20
41:09,24:20
40:24,24:20
39:51,24:20
39:30,24:19
39:03,24:19
38:18,24:19
37:41,24:18
37:14,24:18
36:39,24:18
36:04,24:17
35:31,23:17
35:15,23:17
34:37,22:17
34:06,22:16
33:31,21:16
33:28,21:15
33:20,21:15
32:49,20:15
32:43,20:15
31:32,20:15
31:07,20:15
30:55,20:15
30:00,20:15
29:19,20:15
28:58,20:15
27:36,20:14
27:13,19:14
27:04,19:14
26:36,18:14
26:14,18:13
25:07,18:13
24:37,18:12
24:08,18:12
23:59,18:12
23:19,18:12
23:19,18:12
22:57,18:12
22:16,18:12
22:08,18:12
21:41,17:12
21:04,17:11
20:46,16:11
20:08,16:11
19:56,16:11
19:22,15:11
19:15,15:11
18:48,14:11
18:19,14:10
18:08,14:10
18:01,14:10
17:24,14:10
17:02,13:10
16:56,13:10
16:40,13:9
16:19,12:9
15:48,12:9
15:39,11:9
14:32,11:9
13:54,10:9
13:49,10:8
13:41,10:8
13:17,10:8
13:14,9:8
12:46,9:8
12:09,9:7
12:04,8:7
11:18,8:7
10:54,8:7
10:07,8:7
09:43,8:6
09:38,8:6
09:24,7:6
09:09,7:6
08:43,7:6
08:43,7:6
08:31,7:6
08:07,7:5
07:56,6:5
06:45,6:4
06:24,5:4
05:55,5:4
05:49,5:4
05:26,4:4
05:20,4:4
04:54,4:4
04:28,4:3
03:59,3:3
03:51,3:2
03:43,3:2
03:12,3:1
03:00,3:1
02:55,2:1
02:44,2:1
02:08,1:1
02:04,1:0
01:55,1:0
01:14,0:0
01:08,0:0
00:58,0:0
00:51,0:0
