timestamp,score
60:00,26:26
60:00,26:26
59:59,26:26
59:29,26:26
59:16,26:26
58:49,26:26
58:22,26:25
58:16,25:25
57:52,25:25
57:21,24:25
57:09,24:25
56:21,24:25
55:57,24:25
55:10,24:24
55:08,24:24
55:06,24:24
54:56,24:24
54:13,24:24
53:54,24:24
53:20,24:24
52:12,24:24
52:09,24:24
52:04,23:24
51:38,23:24
51:31,22:24
51:03,22:24
50:38,21:24
50:31,21:24
50:01,21:23
49:14,21:23
48:16,21:22
47:51,20:22
47:20,20:22
47:05,20:22
46:23,20:22
46:01,20:21
44:41,20:21
44:33,20:21
43:09,20:21
42:58,20:21
41:58,20:21
41:53,19:21
41:09,19:21
40:37,19:21
40:07,19:20
39:42,18:20
39:36,18:19
39:23,18:19
38:09,18:19
37:59,17:19
37:22,17:18
36:44,16:18
35:38,16:18
35:20,15:18
34:39,15:17
34:26,15:17
34:21,15:16
34:16,15:16
33:39,15:16
32:55,15:16
32:53,15:16
31:23,15:16
30:55,15:16
30:30,15:15
29:56,15:15
29:37,15:15
29:10,15:14
28:42,14:14
28:08,14:14
28:03,14:13
27:48,14:13
27:16,14:13
27:09,14:13
26:57,14:13
26:16,14:13
26:13,13:13
25:15,13:13
24:50,12:13
24:20,12:12
24:11,11:12
23:45,11:12
22:20,11:12
22:10,11:11
21:24,10:11
20:38,10:10
20:36,9:9
20:32,9:9
20:26,9:10
19:59,9:9
19:52,9:8
19:27,9:8
19:21,9:7
18:41,9:7
18:35,9:7
18:35,9:7
18:15,9:6
17:53,9:6
17:21,9:6
17:16,9:5
16:44,9:5
16:34,9:5
16:00,9:5
15:56,9:5
15:17,8:5
14:38,8:4
14:32,8:4
13:33,8:4
13:06,7:4
12:52,7:4
11:52,7:4
11:38,7:3
11:22,7:3
10:35,7:3
10:04,6:3
09:56,6:2
09:15,6:2
08:58,5:2
08:30,5:2
08:17,5:2
07:39,5:2
07:29,4:2
06:35,4:2
06:30,4:2
06:20,4:2
06:14,4:2
05:43,4:2
05:31,3:2
05:20,3:1
05:00,3:1
04:25,3:1
03:59,3:1
03:43,3:1
03:24,3:1
03:07,2:1
02:51,2:1
02:45,1:1
01:34,1:1
01:11,0:1
01:11,0:1
