timestamp,score
60:00,29:31
59:50,29:31
59:45,29:30
59:26,29:30
58:53,29:30
58:15,29:30
58:13,29:30
58:04,29:30
57:31,28:30
57:24,28:29
56:00,28:29
55:54,28:28
55:43,28:28
55:28,28:27
55:19,28:27
54:38,27:27
54:25,27:26
53:54,26:26
53:49,26:25
53:19,26:25
52:54,25:25
52:46,25:24
52:06,25:24
51:49,25:23
51:46,24:23
51:35,24:23
51:15,24:22
51:06,24:22
50:21,24:22
49:46,24:21
49:32,23:21
49:04,23:21
48:17,22:21
47:40,22:20
46:47,21:20
46:12,21:20
45:17,21:20
44:39,21:20
44:29,21:20
44:04,20:20
43:30,20:19
43:12,19:19
42:39,19:18
42:35,18:18
42:21,18:18
42:04,18:18
41:09,18:18
40:33,17:18
39:59,17:17
39:39,16:17
38:38,16:17
38:38,16:17
37:29,15:17
37:23,15:16
37:17,15:16
36:46,15:16
36:33,14:16
36:22,14:16
35:21,14:16
34:49,14:15
34:36,14:15
34:26,14:15
33:54,13:15
33:16,13:15
32:50,12:15
32:08,12:14
31:19,11:14
31:12,11:13
30:37,10:13
30:00,10:13
29:50,10:13
29:42,10:13
28:58,9:13
28:46,9:12
27:51,9:12
27:46,9:11
27:17,9:11
27:07,9:10
26:25,8:10
26:15,8:9
25:50,7:9
25:49,7:9
25:34,7:9
24:40,6:9
23:55,6:8
23:31,6:7
22:28,5:7
22:25,5:7
22:20,5:7
21:41,5:7
21:24,5:6
20:44,5:6
20:11,4:6
20:02,4:5
19:14,3:5
18:40,3:4
18:19,2:4
17:49,2:4
17:44,2:4
17:00,2:4
16:39,2:4
16:10,2:4
16:06,2:3
15:14,2:3
14:52,2:2
14:39,2:2
13:49,2:2
13:26,2:2
12:45,2:2
12:12,2:2
12:06,2:2
11:49,1:2
11:33,1:2
10:53,1:2
10:46,1:2
10:38,1:2
10:31,1:2
09:16,1:2
09:04,1:2
08:05,1:2
07:01,1:2
06:58,1:2
06:12,1:2
06:01,1:2
05:08,1:2
04:42,1:2
04:40,1:1
04:02,1:1
03:56,1:1
03:46,1:1
03:16,1:1
02:25,1:1
01:27,1:0
01:13,1:0
00:49,1:0
00:34,1:0
