timestamp,score
60:00,25:21
59:57,25:21
59:32,25:21
59:18,24:21
59:05,24:21
58:57,24:21
58:45,23:21
58:09,23:21
58:05,23:21
58:02,23:21
57:50,23:21
57:15,22:21
56:36,22:20
56:01,22:20
55:20,21:20
54:38,21:20
54:15,21:20
54:04,21:20
53:35,21:20
52:57,21:19
52:44,20:19
52:09,20:19
52:03,20:19
51:28,20:19
51:22,20:19
51:18,19:19
50:33,19:19
50:17,18:19
49:23,18:18
49:17,17:18
48:47,17:18
48:39,17:18
48:08,17:18
47:56,17:18
47:46,17:18
47:17,17:18
47:02,17:18
46:39,17:18
46:16,17:18
45:38,17:18
45:30,17:17
44:19,17:17
44:09,17:16
43:58,16:16
43:37,16:16
42:44,15:16
42:38,15:16
42:05,15:16
42:00,15:15
41:17,15:15
41:10,15:14
40:08,15:14
40:03,15:14
39:11,15:14
39:01,15:13
38:32,15:13
38:01,15:13
37:39,14:13
37:06,14:13
36:40,13:13
36:14,13:12
36:08,13:12
35:37,12:12
35:25,12:12
34:47,11:12
34:26,11:11
34:16,11:11
34:08,10:11
33:27,10:11
32:34,9:11
32:06,9:10
31:57,9:10
31:27,9:10
30:51,8:10
30:00,8:10
30:00,8:10
29:34,8:10
29:29,8:9
29:18,8:9
28:34,8:9
28:22,8:9
28:15,7:9
27:23,7:9
27:17,6:9
26:17,6:9
26:14,5:9
25:26,5:9
25:04,5:9
24:37,5:9
23:43,5:9
23:39,5:9
22:50,5:9
21:24,5:9
19:55,5:9
19:49,5:8
19:28,5:8
19:23,5:8
19:16,5:7
19:07,5:7
18:53,5:7
18:24,5:7
18:11,5:7
17:44,5:7
17:33,5:6
17:09,5:6
17:09,5:6
16:59,5:6
16:12,5:6
16:02,5:5
15:19,5:5
14:37,5:5
14:26,5:5
14:21,4:5
13:53,4:5
13:22,4:5
13:11,3:5
13:02,3:5
12:42,3:5
12:35,3:4
11:33,3:4
11:01,3:3
10:42,3:3
10:11,3:3
09:45,3:3
09:36,3:3
09:29,3:3
09:09,3:3
08:38,3:3
08:22,2:3
08:07,2:3
07:39,2:3
07:31,2:2
07:02,2:2
06:31,2:2
06:19,2:2
06:09,2:2
05:32,2:2
05:10,2:2
04:49,2:2
04:40,2:2
04:27,1:1
04:17,2:1
04:12,1:1
04:02,1:1
03:40,1:1
03:31,1:0
03:31,1:0
03:17,1:0
02:43,1:0
02:29,1:0
02:05,1:0
01:28,1:0
01:21,1:0
00:53,0:0
00:45,0:0
