timestamp,score
59:56,29:27
59:52,28:27
59:23,28:27
59:17,28:26
59:02,28:26
58:48,28:26
58:39,28:26
58:26,28:26
57:54,28:26
57:37,27:26
56:36,27:26
56:11,27:26
55:27,27:26
54:48,27:25
54:20,27:25
52:58,27:24
52:25,26:24
51:09,26:24
51:09,26:24
51:00,25:24
50:55,25:23
50:26,25:23
49:48,25:22
48:56,25:22
48:29,25:22
47:59,24:22
47:32,24:21
47:03,24:21
46:58,24:20
46:25,24:20
46:25,24:20
45:21,24:20
44:52,24:19
44:38,23:19
44:13,23:19
43:08,23:19
42:41,22:19
42:34,22:19
42:10,22:18
41:09,22:18
40:58,22:18
40:23,22:18
39:51,22:18
39:19,21:18
39:13,21:18
38:31,21:18
38:27,21:17
38:25,21:17
37:40,21:17
37:39,21:17
37:32,20:17
37:07,20:17
36:54,19:17
35:55,19:17
35:29,18:17
34:32,18:17
34:26,17:17
33:06,17:17
32:31,16:17
31:38,16:16
31:13,16:16
30:34,16:15
30:29,15:15
30:00,15:15
29:58,15:15
29:58,15:15
29:39,15:15
28:45,15:14
28:25,14:14
27:58,14:14
27:25,14:13
27:19,14:13
27:08,13:13
26:33,13:13
26:24,12:13
25:08,12:12
23:58,11:12
23:29,11:12
23:21,10:12
22:45,10:12
21:58,10:12
21:22,10:11
21:07,9:11
20:27,9:11
19:15,9:10
19:11,9:10
18:43,9:9
18:26,8:9
17:53,8:9
17:18,7:9
15:57,7:9
15:48,6:9
15:11,6:9
15:00,6:9
14:49,6:9
14:12,5:9
14:06,5:9
13:50,5:8
13:47,5:8
12:40,5:8
12:01,5:8
11:40,5:7
11:07,4:7
11:03,4:6
11:00,4:6
10:23,4:6
09:58,4:6
09:53,4:6
09:19,4:5
09:11,3:5
08:39,3:5
08:35,3:5
07:47,3:5
07:16,2:5
07:03,2:4
06:29,2:4
06:21,2:4
05:18,2:3
04:51,2:3
04:45,2:3
04:39,2:2
04:09,3:1
03:48,2:1
03:37,2:1
02:21,2:0
00:54,0:0
00:42,0:0
00:32,0:0
