timestamp,score
60:00,35:22
59:07,35:22
58:46,35:21
58:27,34:21
57:54,34:20
57:48,33:20
56:42,33:20
56:35,33:20
56:11,33:20
55:56,33:20
55:19,33:20
54:46,33:19
53:57,32:19
53:48,32:18
53:42,32:18
53:12,32:18
52:31,31:18
52:08,31:18
51:21,30:18
51:05,30:18
50:25,29:18
50:12,29:17
49:42,29:17
49:20,29:17
49:10,29:17
48:57,29:17
48:25,29:16
47:56,28:16
47:48,28:15
46:52,28:15
46:25,28:14
45:34,27:14
45:06,27:13
44:41,26:13
44:18,26:13
43:50,26:13
43:35,25:13
42:44,25:13
42:04,25:12
42:02,24:12
41:23,24:12
40:52,23:12
39:59,23:11
39:39,22:11
38:23,22:11
38:22,22:11
37:55,21:11
37:25,21:10
36:53,20:10
36:34,20:10
36:29,20:10
36:02,20:10
35:26,20:9
35:20,19:9
34:31,19:8
34:23,19:8
33:36,19:8
33:29,19:8
32:35,18:8
32:29,18:8
31:58,17:8
31:13,17:7
30:37,17:7
29:59,17:6
29:03,16:6
28:43,16:6
27:43,16:6
27:08,16:5
26:38,16:5
26:10,15:5
25:22,15:4
24:20,14:4
23:45,14:4
23:29,13:4
23:16,13:4
22:40,13:3
22:35,12:3
21:54,12:3
21:54,12:3
21:22,11:3
20:16,11:3
19:40,11:3
19:31,11:2
19:24,11:2
18:59,11:2
18:14,10:2
18:03,10:2
17:28,9:2
16:54,9:2
16:21,9:2
16:02,8:2
15:46,8:2
15:33,8:2
15:02,8:2
14:23,8:2
14:15,8:2
14:10,8:2
13:13,8:2
12:54,8:2
12:40,8:2
12:25,7:2
11:58,7:2
11:07,7:2
10:40,7:2
10:08,7:2
09:57,7:2
09:25,6:2
08:55,6:2
08:50,6:2
08:14,5:2
08:05,5:2
07:57,5:2
07:32,5:2
07:22,5:2
06:16,5:2
06:05,5:2
05:33,4:2
04:52,4:2
04:14,4:2
04:10,3:2
03:40,3:2
03:37,2:2
02:58,2:2
02:46,2:2
02:39,1:2
02:02,1:2
01:47,0:2
01:34,0:1
00:44,0:1
00:38,0:0
