timestamp,score
59:59,34:29
59:30,34:29
59:15,34:29
59:09,34:29
58:49,34:29
58:46,33:29
58:39,33:29
58:20,33:29
57:50,33:29
57:44,33:28
57:36,33:28
56:41,33:28
56:16,33:28
56:07,33:27
55:12,33:27
55:04,33:26
54:21,33:26
54:21,33:26
54:21,33:26
53:39,33:25
53:26,32:25
53:02,32:25
52:44,32:25
52:04,31:25
51:55,31:25
51:40,31:25
51:15,31:25
51:09,31:25
50:38,31:25
50:33,31:25
50:04,31:25
49:44,31:24
49:12,31:24
49:00,30:24
48:25,30:23
48:07,29:23
47:24,29:23
46:53,29:23
46:42,29:22
46:27,29:22
45:49,29:22
44:28,28:22
43:41,28:21
42:53,27:21
42:28,27:20
42:24,26:20
42:16,26:20
41:45,26:20
41:06,26:20
40:58,26:19
40:05,26:19
39:31,26:19
39:18,25:19
39:01,25:18
38:45,24:18
38:36,24:17
38:31,23:17
37:50,23:17
37:45,22:17
37:28,22:17
36:36,22:17
35:48,22:16
35:48,22:16
35:00,21:16
34:54,21:15
34:33,21:15
34:11,21:15
33:33,20:15
33:28,20:14
33:05,20:14
32:59,20:14
32:13,20:14
32:06,20:13
31:49,20:13
30:57,20:12
30:00,20:12
29:38,19:12
29:38,19:12
28:48,19:12
28:38,18:12
28:10,18:12
27:52,17:12
27:37,17:11
27:23,17:11
26:46,17:11
25:36,17:10
25:29,17:10
25:13,17:10
25:08,17:10
24:35,17:10
24:13,17:9
23:21,17:9
23:12,16:9
22:47,16:9
22:12,15:9
21:23,15:9
20:43,15:9
20:18,15:9
20:12,15:9
20:03,14:9
19:40,14:9
19:03,13:9
18:43,13:9
17:52,13:9
17:36,13:8
16:53,13:8
16:44,12:8
16:28,12:8
16:16,11:8
15:52,11:7
15:05,10:7
14:33,10:6
13:59,10:6
13:41,10:5
13:37,10:5
13:19,10:5
12:46,10:4
12:39,9:4
12:15,9:3
12:11,8:3
11:21,8:3
11:11,7:3
10:46,7:3
10:46,7:3
09:56,6:3
09:24,6:3
09:13,5:3
08:54,5:3
08:39,5:3
07:59,5:3
07:30,4:3
07:22,4:3
07:14,4:3
06:16,4:3
06:05,4:3
05:56,4:3
05:24,4:3
04:54,3:3
04:47,3:2
04:29,3:2
03:58,3:2
03:45,3:1
03:19,2:1
03:12,2:1
02:59,2:0
02:22,1:0
02:05,1:0
01:51,0:0
01:47,0:0
01:33,0:0
01:05,0:0
