timestamp,score
60:00,31:24
59:50,30:24
59:05,30:24
58:59,30:23
58:56,30:23
58:17,30:23
57:45,29:23
57:12,29:23
57:10,29:23
56:42,29:23
56:39,28:23
56:32,28:22
56:28,28:22
56:18,29:23
55:53,28:22
55:16,27:22
54:24,27:22
53:55,26:22
53:33,26:21
53:00,26:21
53:00,26:21
52:50,26:20
52:10,26:20
51:04,26:19
50:28,26:19
50:04,26:18
49:03,25:18
48:58,25:18
48:14,25:18
47:42,25:17
47:32,25:17
47:17,25:17
45:56,25:17
45:37,25:17
45:28,25:17
44:39,25:17
44:24,24:17
42:42,24:16
42:21,23:16
41:46,23:16
41:39,22:16
41:15,22:16
41:05,21:16
40:50,21:15
40:07,21:15
39:48,21:14
39:44,20:14
39:19,21:14
39:11,19:14
39:03,19:13
38:30,20:14
38:26,19:13
38:20,19:13
37:52,19:13
37:48,20:14
37:04,19:13
37:00,18:13
36:34,18:13
36:01,18:13
35:18,18:12
34:30,18:12
34:14,18:11
33:16,18:11
32:48,17:11
32:38,17:10
32:30,17:10
32:14,17:10
31:32,17:10
31:20,16:10
30:00,16:10
29:55,16:10
29:24,15:10
28:39,15:10
28:35,14:10
28:05,14:10
27:24,14:10
26:44,14:10
25:02,14:9
24:58,13:9
24:48,13:9
24:23,13:9
22:43,13:8
22:32,12:8
21:52,12:7
21:19,12:7
21:17,12:6
21:05,12:6
20:57,12:6
20:25,12:6
20:17,12:5
20:09,12:5
19:09,12:5
19:00,12:5
18:27,12:5
18:21,11:5
17:07,11:5
16:19,10:5
15:18,10:4
14:58,9:4
14:32,9:4
14:01,9:4
14:01,9:4
13:51,8:4
13:03,8:4
12:58,8:4
12:49,7:4
11:45,7:3
11:35,7:3
10:41,7:3
10:37,7:3
10:32,6:3
10:30,6:2
10:06,6:2
09:15,6:2
09:07,5:2
08:15,5:2
08:04,5:2
07:07,4:2
07:01,4:2
06:40,4:2
06:38,4:2
06:14,4:2
05:48,3:2
05:35,3:2
04:58,2:2
04:53,2:2
04:39,2:1
04:22,1:1
03:47,1:1
02:33,1:1
02:25,0:1
02:12,0:0
01:59,0:0
01:09,0:0
01:04,0:0
00:56,0:0
