timestamp,score
60:00,32:20
59:58,32:20
59:43,32:20
59:04,32:20
59:03,32:20
58:52,31:20
58:06,31:20
57:10,30:20
57:02,30:19
56:49,30:19
56:01,30:19
55:49,29:19
55:14,29:19
54:21,28:19
53:50,28:18
53:26,28:18
53:16,28:18
52:22,28:18
52:00,27:18
51:27,27:18
51:17,27:18
50:34,27:18
50:01,27:17
49:05,27:17
48:51,27:17
47:41,27:17
47:35,26:17
47:18,26:17
46:54,25:17
46:49,25:17
46:17,25:17
45:50,25:17
44:33,25:17
43:27,24:17
43:04,24:16
42:58,24:16
42:49,24:16
42:23,24:16
42:13,23:16
41:59,23:16
41:14,23:16
40:38,23:15
39:57,23:15
39:53,23:15
39:14,23:15
38:49,23:15
38:10,23:15
38:05,23:14
37:30,23:14
37:13,23:13
36:15,23:13
36:07,22:13
35:27,22:13
34:58,22:13
34:44,22:12
34:32,21:12
34:26,21:11
33:46,20:11
32:51,20:10
31:32,19:10
31:25,19:9
31:12,19:9
30:35,19:8
30:00,18:8
30:00,17:8
29:59,17:8
29:37,17:8
28:54,16:8
27:52,16:8
27:47,15:8
27:01,15:8
25:55,14:8
25:19,14:7
25:03,14:7
24:33,13:7
23:56,13:7
23:48,13:7
23:08,13:7
22:20,13:7
21:47,13:7
21:42,13:6
21:06,13:7
20:41,12:6
20:22,12:6
20:22,12:6
19:28,12:6
18:57,12:6
18:44,11:6
17:40,11:6
17:04,11:6
16:30,11:5
15:38,11:5
15:29,11:5
15:18,11:5
14:24,11:5
13:59,11:5
13:19,11:5
13:02,11:5
12:55,11:5
12:23,11:5
12:18,11:5
11:51,11:5
11:08,10:5
10:54,10:4
10:11,9:4
10:04,9:3
09:28,8:3
09:22,8:3
09:13,8:2
08:44,8:2
07:53,8:2
07:44,7:2
06:51,7:1
06:12,6:1
05:31,6:1
04:56,5:1
04:48,5:1
04:42,5:1
04:35,5:1
03:54,5:1
03:26,4:1
03:19,4:1
02:47,4:0
02:35,3:0
02:19,3:0
02:15,2:0
01:51,2:0
01:42,2:0
00:55,1:0
00:44,1:0
00:38,0:0
