timestamp,score
59:57,32:27
59:43,32:26
59:38,31:26
59:04,31:26
58:51,30:26
58:16,29:26
58:08,29:26
57:18,29:26
57:15,29:25
57:06,29:25
56:34,28:25
55:50,28:25
55:18,28:25
54:40,28:25
53:49,27:25
53:41,27:24
53:01,27:24
52:58,27:23
52:28,26:23
52:26,26:23
52:23,26:22
52:12,26:22
51:37,26:22
51:32,26:22
51:30,26:22
50:49,26:22
50:08,25:22
49:19,25:22
48:33,24:22
47:22,24:21
47:22,24:21
47:14,24:21
46:36,23:21
46:23,23:21
45:52,23:21
45:41,23:20
45:12,22:20
45:10,22:19
44:30,22:19
43:44,22:18
43:00,21:18
42:45,21:18
41:58,20:18
41:49,20:17
41:37,20:17
40:27,20:16
39:09,20:16
38:48,20:16
38:07,20:16
37:24,20:16
36:59,20:16
36:35,20:15
36:27,19:15
35:54,19:15
35:22,18:15
35:22,18:15
35:20,18:15
35:13,18:15
35:02,17:15
33:47,17:14
32:47,16:14
31:43,16:13
30:54,15:13
30:18,15:13
29:55,15:13
28:49,15:13
28:21,14:13
27:50,14:13
27:45,14:12
27:38,14:12
26:46,14:12
26:38,13:12
25:43,13:12
25:05,12:12
24:54,12:11
24:14,12:11
24:09,12:11
23:04,12:11
22:54,11:11
22:15,11:11
22:14,11:11
21:45,10:11
21:21,10:10
20:23,10:10
20:18,10:10
20:04,10:9
19:58,10:9
19:22,10:9
18:47,10:8
17:56,9:8
17:25,9:8
16:18,9:8
15:38,9:8
15:25,9:8
14:23,9:7
14:15,8:7
13:14,8:6
13:09,7:6
12:50,7:6
11:47,7:6
11:37,7:5
11:08,6:5
10:34,6:4
09:42,5:4
09:32,5:3
08:38,5:3
08:07,5:2
07:34,5:2
07:08,5:1
07:03,5:1
06:28,5:1
06:06,4:1
05:37,10:10
04:57,4:1
04:57,3:1
04:57,3:1
04:40,2:1
04:01,2:1
03:20,2:1
03:06,2:1
02:48,1:1
01:52,1:1
00:39,0:1
