timestamp,score
59:59,19:17
59:33,19:16
58:29,19:16
58:08,19:16
57:55,19:16
56:56,19:16
56:51,19:15
56:20,19:15
55:46,19:15
55:40,19:15
55:25,19:15
55:25,19:15
54:21,19:15
54:11,18:15
53:19,18:14
53:14,17:14
52:40,17:14
51:49,17:14
51:26,17:13
50:19,17:13
49:53,17:13
49:22,17:13
48:44,17:13
48:09,17:12
47:55,17:12
47:28,17:12
46:36,17:12
45:57,17:11
45:43,17:11
45:35,17:11
45:09,17:11
44:32,16:11
44:12,16:11
43:57,16:11
43:40,16:10
43:10,16:10
42:35,16:10
41:59,16:10
40:38,16:10
40:34,16:10
39:52,16:10
39:45,15:10
39:34,15:9
39:24,15:9
38:50,15:9
38:29,15:9
37:55,15:9
37:46,15:9
37:31,15:9
36:59,15:9
36:34,15:9
36:05,15:9
34:39,14:9
34:33,14:9
33:55,14:9
33:48,14:9
33:10,14:9
32:25,14:9
32:20,13:9
31:21,13:9
31:02,13:9
30:35,13:9
30:32,13:8
30:00,13:8
30:00,12:8
29:56,12:8
29:06,12:8
28:38,11:8
27:34,11:7
27:30,10:7
26:59,10:7
26:33,10:7
26:22,10:7
25:31,10:7
25:15,10:6
24:13,9:6
23:13,9:6
22:53,9:6
21:24,9:6
21:24,9:5
20:55,9:5
19:38,8:5
19:02,8:5
18:04,7:5
17:24,7:5
16:51,6:5
16:24,6:4
16:18,6:4
16:10,6:4
15:38,6:4
15:01,5:4
14:13,5:3
13:55,5:3
13:47,4:3
13:40,4:3
12:47,4:3
12:24,4:2
11:33,4:2
11:07,3:2
10:30,3:2
10:26,3:2
09:58,3:2
09:13,3:2
09:04,3:2
08:51,3:2
08:13,3:2
07:58,2:2
06:56,2:2
06:40,2:2
06:02,2:2
05:48,2:2
05:22,2:1
04:48,2:1
04:24,2:1
03:48,1:1
03:41,1:0
03:10,1:0
02:30,1:0
02:26,1:0
01:40,1:0
00:49,0:0
