timestamp,score
59:57,28:30
59:50,28:29
59:35,28:29
59:29,27:29
59:23,27:29
59:16,27:29
59:14,27:29
59:02,27:29
58:25,27:28
57:51,27:28
57:39,27:27
56:51,27:27
56:29,27:26
56:21,27:26
55:16,27:26
55:12,27:25
55:02,27:25
54:39,27:24
54:19,26:24
54:11,26:23
53:36,25:23
53:23,25:23
52:19,25:23
52:14,25:23
52:03,25:22
51:59,24:22
51:40,24:22
51:29,24:22
50:52,23:22
50:17,23:22
50:04,23:21
49:23,22:21
49:10,22:21
48:01,22:21
47:36,21:21
46:47,21:20
46:31,20:20
45:32,20:20
44:59,20:19
44:03,20:19
43:16,20:18
43:11,20:18
43:00,20:18
42:05,19:18
41:50,19:17
41:12,18:17
40:35,18:16
40:21,17:16
40:01,17:16
39:54,17:16
39:21,16:16
39:05,16:16
38:29,16:16
37:17,16:16
36:58,15:16
35:40,15:16
35:23,15:16
34:46,15:16
34:36,15:15
34:26,15:15
33:29,15:15
33:23,14:15
32:32,14:15
32:21,13:15
31:23,13:14
31:18,13:14
31:04,13:14
30:54,13:14
29:59,13:13
29:41,13:13
28:50,13:13
28:40,13:12
27:41,13:12
27:30,12:12
27:24,12:11
27:06,11:11
26:44,11:11
26:31,11:10
26:06,11:10
25:34,11:10
25:30,11:9
24:33,11:9
24:17,11:9
23:41,11:9
22:59,11:9
22:37,11:8
22:20,11:8
21:18,10:8
21:02,10:7
20:32,10:7
20:25,10:7
19:19,9:7
19:08,9:7
18:53,9:7
18:07,9:7
17:55,9:7
17:13,9:7
16:50,8:7
16:33,8:7
15:53,8:7
15:36,7:7
15:02,7:7
14:24,7:7
14:12,7:7
13:12,7:7
13:07,7:6
13:02,7:6
12:45,7:6
12:07,7:6
11:54,7:6
11:44,7:6
11:29,7:6
11:17,6:6
10:38,6:6
10:23,6:5
09:43,6:5
09:30,5:5
09:24,5:5
08:13,5:5
08:09,5:4
08:02,5:4
07:22,5:3
06:04,4:3
05:50,4:3
05:11,4:2
04:54,3:2
04:14,3:1
04:06,2:1
03:18,2:1
03:15,1:1
03:12,1:1
02:50,1:1
02:33,1:1
02:08,1:0
02:00,1:0
01:51,1:0
00:41,1:0
