timestamp,score
60:00,25:29
59:52,25:29
59:40,25:28
59:21,25:28
59:13,24:28
58:44,24:28
58:12,24:28
57:41,24:27
57:27,23:27
57:07,23:27
56:57,23:27
56:15,23:26
56:05,22:26
55:15,22:26
54:15,22:26
53:46,22:25
52:41,22:25
51:42,22:25
50:47,22:25
50:37,21:25
50:00,21:25
48:57,20:25
48:02,20:25
47:20,19:25
46:51,19:24
46:45,19:24
46:26,19:24
46:16,19:24
45:33,19:24
44:52,18:24
44:50,18:24
44:46,18:24
44:41,18:23
43:57,18:23
43:23,18:22
42:31,17:22
41:29,17:21
41:18,17:21
40:37,17:21
40:06,16:21
39:20,16:20
38:29,15:20
37:37,15:19
36:59,14:19
36:21,14:18
36:10,14:18
35:37,14:17
34:45,13:17
34:26,13:16
33:55,13:16
32:53,12:16
32:44,12:16
32:12,12:16
31:49,12:16
31:21,12:15
31:15,12:15
30:35,12:15
30:34,12:15
30:27,12:15
30:00,12:15
29:41,12:15
29:37,12:14
28:48,12:14
27:54,12:13
26:40,11:13
26:07,11:12
25:32,11:12
25:13,11:11
24:51,11:11
24:19,11:11
23:49,11:10
23:01,11:10
22:54,10:10
22:23,10:9
22:16,9:9
20:57,9:9
20:48,9:9
20:16,9:8
19:04,8:8
18:09,8:7
18:02,8:7
17:18,8:7
16:48,8:7
16:23,8:6
16:17,8:6
15:43,8:6
15:34,8:6
15:00,8:6
14:54,8:5
14:34,8:5
13:57,8:5
13:08,8:5
12:31,8:5
12:26,8:4
11:48,8:4
10:56,8:3
10:50,7:3
10:41,7:3
10:08,6:3
09:39,6:3
09:29,6:3
09:19,5:3
08:51,5:3
08:45,5:3
07:42,4:3
07:27,4:2
06:50,4:2
06:45,3:2
06:04,3:2
05:29,2:2
04:58,2:1
04:20,2:1
04:09,1:1
03:33,1:1
03:24,0:1
03:17,0:0
03:02,0:0
01:59,0:0
01:23,0:0
00:54,0:0
00:45,0:0
