timestamp,score
59:14,28:24
59:04,28:24
58:26,28:24
58:11,28:23
58:05,28:23
57:24,27:23
57:15,27:22
56:33,26:22
56:29,26:21
55:32,26:21
54:43,26:21
53:42,25:21
53:13,25:21
53:03,25:21
52:06,25:21
51:08,25:20
50:48,25:20
50:38,25:20
49:42,25:20
48:30,25:20
48:02,25:19
47:15,25:19
47:09,25:19
46:53,25:19
46:46,25:19
45:47,24:19
45:37,24:18
44:27,23:18
44:13,23:18
44:04,23:18
43:18,23:17
43:07,22:17
42:05,22:17
41:46,21:17
41:41,21:16
41:21,21:16
40:45,21:16
40:10,21:15
39:30,21:15
39:01,21:14
38:57,20:14
37:58,20:14
37:37,19:14
37:01,19:14
36:52,19:13
36:00,19:13
35:26,19:12
34:44,19:12
33:56,18:12
32:26,18:11
32:21,17:11
31:35,17:11
31:10,17:11
30:34,17:10
30:30,16:10
29:56,16:10
29:42,16:10
28:56,16:10
28:40,16:10
28:05,16:10
27:58,16:9
27:16,16:9
26:35,16:9
25:56,15:9
25:51,15:8
24:49,15:8
24:18,15:8
23:53,14:8
23:11,14:8
22:26,14:7
22:19,13:7
21:42,13:7
20:50,13:7
20:42,12:7
20:34,12:7
20:26,11:7
20:11,11:7
19:39,11:7
19:14,10:7
18:42,10:7
18:29,10:7
18:22,10:7
17:28,10:7
17:16,10:7
16:48,9:7
16:46,9:6
16:36,9:6
15:59,9:6
15:24,9:6
15:12,9:6
14:36,8:6
13:56,8:5
13:17,7:5
13:09,7:5
12:36,7:5
12:29,7:5
12:14,7:5
11:12,7:5
10:24,6:5
09:42,6:5
08:48,6:4
08:07,5:4
07:42,5:3
07:31,5:3
07:24,5:3
06:52,5:3
06:35,4:3
05:41,4:3
05:33,3:3
05:23,3:3
04:32,3:3
04:13,2:3
03:35,2:2
03:08,1:2
02:56,1:1
02:37,0:1
02:18,0:1
01:58,0:0
01:47,0:0
01:04,0:0
