timestamp,score
59:57,26:23
59:53,26:23
59:41,26:23
59:33,26:23
59:01,25:23
58:43,25:23
58:29,25:23
57:53,24:23
57:12,24:23
57:06,24:23
56:34,24:23
56:03,24:22
55:31,23:22
54:58,23:21
54:47,22:21
54:28,22:20
54:14,22:20
53:31,22:20
52:43,22:20
49:49,22:20
49:49,22:20
49:49,21:20
49:49,21:19
49:20,21:19
49:09,21:19
49:03,21:19
48:06,21:19
47:58,21:19
47:16,21:19
46:08,21:19
46:01,20:19
45:29,20:19
45:18,19:19
44:48,19:18
43:28,19:18
43:00,19:17
42:55,18:17
42:20,18:17
41:46,17:17
41:42,17:17
40:35,17:17
39:42,17:16
39:40,16:16
39:29,16:16
39:03,16:16
38:19,15:16
37:40,15:15
37:00,15:15
36:30,15:14
35:18,14:14
35:13,14:13
34:55,14:13
34:13,14:13
34:03,13:13
33:22,13:13
33:00,12:13
32:45,12:12
32:23,12:12
31:25,12:12
31:10,12:12
31:05,11:12
30:29,11:12
29:59,11:12
29:10,11:12
28:51,11:12
28:31,11:12
28:24,10:12
28:03,10:11
27:47,10:11
27:17,10:11
27:03,10:11
25:55,10:11
25:55,10:11
25:23,10:10
24:46,10:10
24:29,10:10
23:38,10:10
23:08,10:10
22:29,10:10
21:55,10:10
21:46,9:10
21:21,9:9
20:50,9:9
20:16,8:9
19:43,8:8
19:38,7:8
18:52,7:8
18:07,7:8
17:33,7:8
17:24,6:8
16:51,6:7
16:19,6:7
15:46,6:6
15:40,5:6
15:20,5:6
14:38,5:6
14:00,5:6
13:24,4:6
13:01,4:5
12:07,4:5
11:34,4:5
11:20,4:5
10:41,4:5
10:36,3:5
09:40,3:5
09:04,3:5
08:31,3:5
08:01,3:4
07:17,3:4
06:40,3:3
06:35,2:3
06:06,2:2
05:56,2:2
05:39,2:2
05:08,2:2
04:35,2:2
03:53,2:2
03:48,1:2
03:20,1:2
03:10,1:2
02:34,1:1
02:17,0:1
01:26,0:1
00:49,0:1
